movie_name,movie_director,movie_year,movie_rank,critic_name,critic_org,critic_cn
Only Lovers Left Alive,Jim Jarmusch,2013,8,Angie Han,Slashfilm,US
Selma,Ava DuVernay,2014,9,Angie Han,Slashfilm,US
Pain & Gain,Michael Bay,2013,10,Angie Han,Slashfilm,US
Inside Out,Pete Docter,2015,1,Aisha Harris,Slate,US
When the Levees Broke: A Requiem in Four Acts,Spike Lee,2006,2,Aisha Harris,Slate,US
Stories We Tell,Sarah Polley,2012,3,Aisha Harris,Slate,US
Her,Spike Jonze,2013,4,Aisha Harris,Slate,US
Children of Men,Alfonso Cuarón,2006,5,Aisha Harris,Slate,US
Before Midnight,Richard Linklater,2013,6,Aisha Harris,Slate,US
The Look of Silence,Joshua Oppenheimer,2014,7,Aisha Harris,Slate,US
Fruitvale Station,Ryan Coogler,2013,8,Aisha Harris,Slate,US
Love & Basketball,Gina Prince-Bythewood,2000,9,Aisha Harris,Slate,US
Brick,Rian Johnson,2005,10,Aisha Harris,Slate,US
Stray Dogs,Tsai Ming-liang,2013,1,Tina Hassannia,Freelance film critic,Canada
A Separation,Asghar Farhadi,2011,2,Tina Hassannia,Freelance film critic,Canada
Margaret,Kenneth Lonergan,2011,3,Tina Hassannia,Freelance film critic,Canada
Ten,Abbas Kiarostami,2002,4,Tina Hassannia,Freelance film critic,Canada
35 Shots of Rum,Claire Denis,2008,5,Tina Hassannia,Freelance film critic,Canada
Closed Curtain,Jafar Panahi,2013,6,Tina Hassannia,Freelance film critic,Canada
Tangerine,Sean Baker,2015,7,Tina Hassannia,Freelance film critic,Canada
The Royal Tenenbaums,Wes Anderson,2001,8,Tina Hassannia,Freelance film critic,Canada
Spring Breakers,Harmony Korine,2012,9,Tina Hassannia,Freelance film critic,Canada
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,10,Tina Hassannia,Freelance film critic,Canada
Notre musique,Jean-Luc Godard,2004,1,Shiguehiko Hasumi,University of Tokyo,Japan
Triple Agent,Éric Rohmer,2004,2,Shiguehiko Hasumi,University of Tokyo,Japan
The Assassin,Hou Hsiao-hsien,2015,3,Shiguehiko Hasumi,University of Tokyo,Japan
Gran Torino,Clint Eastwood,2008,4,Shiguehiko Hasumi,University of Tokyo,Japan
Horse Money,Pedro Costa,2014,5,Shiguehiko Hasumi,University of Tokyo,Japan
Fantastic Mr Fox,Wes Anderson,2012,6,Shiguehiko Hasumi,University of Tokyo,Japan
Holy Motors,Leos Carax,2012,7,Shiguehiko Hasumi,University of Tokyo,Japan
Death Proof – Grindhouse,Quentin Tarantino,2007,8,Shiguehiko Hasumi,University of Tokyo,Japan
Déjà Vu,Tony Scott,2006,9,Shiguehiko Hasumi,University of Tokyo,Japan
Seventh Code,Kiyoshi Kurosawa,2013,10,Shiguehiko Hasumi,University of Tokyo,Japan
Waiting for Happiness,Abderrahmane Sissako,2002,1,Katarina Hedrén,Freelance film critic,South Africa
The White Ribbon,Michael Haneke,2009,2,Katarina Hedrén,Freelance film critic,South Africa
Dreams of a Life,Carol Morley,2011,3,Katarina Hedrén,Freelance film critic,South Africa
Tey,Alain Gomis,2012,4,Katarina Hedrén,Freelance film critic,South Africa
The Gleaners and I,Agnès Varda,2000,5,Katarina Hedrén,Freelance film critic,South Africa
Lumumba,Raoul Peck,2000,6,Katarina Hedrén,Freelance film critic,South Africa
Hunger,Steve McQueen,2008,7,Katarina Hedrén,Freelance film critic,South Africa
Fruitvale Station,Ryan Coogler,2013,8,Katarina Hedrén,Freelance film critic,South Africa
"Eat, Sleep, Die",Gabriela Pichler,2012,9,Katarina Hedrén,Freelance film critic,South Africa
Middle of Nowhere,Ava DuVernay,2012,10,Katarina Hedrén,Freelance film critic,South Africa
A Serious Man,Joel and Ethan Coen,2009,1,Jordan Hoffman,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,2,Jordan Hoffman,Freelance film critic,US
Star Trek,J. J. Abrams,2009,3,Jordan Hoffman,Freelance film critic,US
Waking Life,Richard Linklater,2001,4,Jordan Hoffman,Freelance film critic,US
Ida,Paweł Pawlikowski,2013,5,Jordan Hoffman,Freelance film critic,US
Enter the Void,Gaspar Noé,2009,6,Jordan Hoffman,Freelance film critic,US
There Will Be Blood,Paul Thomas Anderson,2007,7,Jordan Hoffman,Freelance film critic,US
Of Gods and Men,Xavier Beauvois,2010,8,Jordan Hoffman,Freelance film critic,US
Into Great Silence,Philip Gröning,2005,9,Jordan Hoffman,Freelance film critic,US
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,10,Jordan Hoffman,Freelance film critic,US
The Social Network,David Fincher,2010,1,Michael Hogan,Vanity Fair,US
Boyhood,Richard Linklater,2014,2,Michael Hogan,Vanity Fair,US
The Descendants,Alexander Payne,2011,3,Michael Hogan,Vanity Fair,US
Beasts of the Southern Wild,Benh Zeitlin,2012,4,Michael Hogan,Vanity Fair,US
No Country For Old Men,Joel and Ethan Coen,2007,5,Michael Hogan,Vanity Fair,US
Idiocracy,Mike Judge,2006,6,Michael Hogan,Vanity Fair,US
Bridesmaids,Paul Feig,2011,7,Michael Hogan,Vanity Fair,US
Spring Breakers,Harmony Korine,2012,8,Michael Hogan,Vanity Fair,US
American Psycho,Mary Harron,2000,9,Michael Hogan,Vanity Fair,US
The Dark Knight,Christopher Nolan,2008,10,Michael Hogan,Vanity Fair,US
Children of Men,Alfonso Cuarón,2006,1,Ann Hornaday,The Washington Post,US
There Will Be Blood,Paul Thomas Anderson,2007,2,Ann Hornaday,The Washington Post,US
The Hurt Locker,Kathryn Bigelow,2008,3,Ann Hornaday,The Washington Post,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Ann Hornaday,The Washington Post,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,5,Ann Hornaday,The Washington Post,US
Boyhood,Richard Linklater,2014,6,Ann Hornaday,The Washington Post,US
Lost in Translation,Sofia Coppola,2003,7,Ann Hornaday,The Washington Post,US
Michael Clayton,Tony Gilroy,2007,8,Ann Hornaday,The Washington Post,US
You Can Count on Me Me,Kenneth Lonergan,2000,9,Ann Hornaday,The Washington Post,US
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,10,Ann Hornaday,The Washington Post,US
Wolff Von Amerongen: Did He Commit Bankruptcy Offences?,Gerhard Benedikt Friedl,2004,1,Alexander Horwath,Austrian Film Museum,Austria
The Master,Paul Thomas Anderson,2012,2,Alexander Horwath,Austrian Film Museum,Austria
Longing,Valeska Grisebach,2006,3,Alexander Horwath,Austrian Film Museum,Austria
I’m Not There,Todd Haynes,2007,4,Alexander Horwath,Austrian Film Museum,Austria
The External World,David O'Reilly,2010,5,Alexander Horwath,Austrian Film Museum,Austria
Secret Sunshine,Lee Chang-dong,2007,6,Alexander Horwath,Austrian Film Museum,Austria
Toni Erdmann,Maren Ade,2016,7,Alexander Horwath,Austrian Film Museum,Austria
Platform,Jia Zhangke,2000,8,Alexander Horwath,Austrian Film Museum,Austria
The Holy Girl,Lucrecia Martel,2004,9,Alexander Horwath,Austrian Film Museum,Austria
Mosaik mécanique,Norbert Pfaffenbichler,2008,10,Alexander Horwath,Austrian Film Museum,Austria
Boyhood,Richard Linklater,2014,1,Peter Howell,The Toronto Star,Canada
Holy Motors,Leos Carax,2012,2,Peter Howell,The Toronto Star,Canada
The Tree of Life,Terrence Malick,2011,3,Peter Howell,The Toronto Star,Canada
In the Mood for Love,Wong Kar-wai,2000,4,Peter Howell,The Toronto Star,Canada
Inside Llewyn Davis,Joel and Ethan Coen,2013,5,Peter Howell,The Toronto Star,Canada
Certified Copy,Abbas Kiarostami,2010,6,Peter Howell,The Toronto Star,Canada
Memento,Christopher Nolan,2000,7,Peter Howell,The Toronto Star,Canada
Y Tu Mamá También,Alfonso Cuarón,2001,8,Peter Howell,The Toronto Star,Canada
Mulholland Drive,David Lynch,2001,9,Peter Howell,The Toronto Star,Canada
A History of Violence,David Cronenberg,2005,10,Peter Howell,The Toronto Star,Canada
Good Night and Good Luck,George Clooney,2005,1,Annette Insdorf,Columbia University,US
Hugo,Martin Scorsese,2011,2,Annette Insdorf,Columbia University,US
Ida,Paweł Pawlikowski,2013,3,Annette Insdorf,Columbia University,US
A Separation,Asghar Farhadi,2011,4,Annette Insdorf,Columbia University,US
Amour,Michael Haneke,2012,5,Annette Insdorf,Columbia University,US
The Act of Killing,Joshua Oppenheimer,2012,6,Annette Insdorf,Columbia University,US
Quills,Philip Kaufman,2000,7,Annette Insdorf,Columbia University,US
The Sapphires,Wayne Blair,2012,8,Annette Insdorf,Columbia University,US
Where Do We Go Now?,Nadine Labaki,2011,9,Annette Insdorf,Columbia University,US
Ajami,Scandar Copti and Yaron Shani,2009,10,Annette Insdorf,Columbia University,US
The Dark Knight,Christopher Nolan,2008,1,Aysha Iqbal,Indian Institute of Technology,India
Inception,Christopher Nolan,2010,2,Aysha Iqbal,Indian Institute of Technology,India
Hero,Zhang Yimou,2002,3,Aysha Iqbal,Indian Institute of Technology,India
Inglourious Basterds,Quentin Tarantino,2009,4,Aysha Iqbal,Indian Institute of Technology,India
The Wolf of Wall Street,Martin Scorsese,2013,5,Aysha Iqbal,Indian Institute of Technology,India
Chakde! India,Shimit Amin,2007,6,Aysha Iqbal,Indian Institute of Technology,India
In the Mood for Love,Wong Kar-wai,2000,7,Aysha Iqbal,Indian Institute of Technology,India
No Country For Old Men,Joel and Ethan Coen,2007,8,Aysha Iqbal,Indian Institute of Technology,India
Maqbool,Vishal Bhardwaj,2003,9,Aysha Iqbal,Indian Institute of Technology,India
The Lives of Others,Florian Henckel von Donnersmarck,2006,10,Aysha Iqbal,Indian Institute of Technology,India
The Pianist,Roman Polanski,2002,1,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Only Lovers Left Alive,Jim Jarmusch,2013,2,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,3,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Leviathan,Andrey Zvyagintsev,2014,4,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Amélie,Jean-Pierre Jeunet,2001,5,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Avatar,James Cameron,2009,6,Zhanna Issabayeva,Freelance film critic,Kazakhstan
The Tree of Life,Terrence Malick,2011,7,Zhanna Issabayeva,Freelance film critic,Kazakhstan
A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,8,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Boyhood,Richard Linklater,2014,9,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Coming Home,Zhang Yimou,2014,10,Zhanna Issabayeva,Freelance film critic,Kazakhstan
The Act of Killing,Joshua Oppenheimer,2012,1,Larushka Ivan-Zadeh,Metro,UK
Caché,Michael Haneke,2005,2,Larushka Ivan-Zadeh,Metro,UK
"Synecdoche, New York",Charlie Kaufman,2008,3,Larushka Ivan-Zadeh,Metro,UK
Spirited Away,Hayao Miyazaki,2001,4,Larushka Ivan-Zadeh,Metro,UK
WALL-E,Andrew Stanton,2008,5,Larushka Ivan-Zadeh,Metro,UK
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,6,Larushka Ivan-Zadeh,Metro,UK
Lost in Translation,Sofia Coppola,2003,7,Larushka Ivan-Zadeh,Metro,UK
Talk to Her,Pedro Almodóvar,2002,8,Larushka Ivan-Zadeh,Metro,UK
The Wrestler,Darren Aronofsky,2008,9,Larushka Ivan-Zadeh,Metro,UK
Boyhood,Richard Linklater,2014,10,Larushka Ivan-Zadeh,Metro,UK
In the Mood for Love,Wong Kar-wai,2000,1,Nick James,Sight & Sound,UK
Caché,Michael Haneke,2005,2,Nick James,Sight & Sound,UK
Yi Yi: A One and a Two,Edward Yang,2000,3,Nick James,Sight & Sound,UK
Zero Dark Thirty,Kathryn Bigelow,2012,4,Nick James,Sight & Sound,UK
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,5,Nick James,Sight & Sound,UK
White Material,Claire Denis,2009,6,Nick James,Sight & Sound,UK
There Will Be Blood,Paul Thomas Anderson,2007,7,Nick James,Sight & Sound,UK
The Look of Silence,Joshua Oppenheimer,2014,8,Nick James,Sight & Sound,UK
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,9,Nick James,Sight & Sound,UK
The Great Beauty,Paolo Sorrentino,2013,10,Nick James,Sight & Sound,UK
The Tree of Life,Terrence Malick,2011,1,David Jenkins,Little White Lies,UK
Eden,Mia Hansen-Løve,2014,2,David Jenkins,Little White Lies,UK
Punch-Drunk Love,Paul Thomas Anderson,2002,3,David Jenkins,Little White Lies,UK
Ghost World,Terry Zwigoff,2001,4,David Jenkins,Little White Lies,UK
Tabu,Miguel Gomes,2012,5,David Jenkins,Little White Lies,UK
Wendy and Lucy,Kelly Reichardt,2008,6,David Jenkins,Little White Lies,UK
The Headless Woman,Lucrecia Martel,2008,7,David Jenkins,Little White Lies,UK
Everyone Else,Maren Ade,2009,8,David Jenkins,Little White Lies,UK
Millennium Mambo,Hou Hsiao-hsien,2001,9,David Jenkins,Little White Lies,UK
In Vanda’s Room,Pedro Costa,2000,10,David Jenkins,Little White Lies,UK
The Master,Paul Thomas Anderson,2012,1,Kent Jones,Film Comment,US
The Tree of Life,Terrence Malick,2011,2,Kent Jones,Film Comment,US
Zodiac,David Fincher,2007,3,Kent Jones,Film Comment,US
Toni Erdmann,Maren Ade,2016,4,Kent Jones,Film Comment,US
There Will Be Blood,Paul Thomas Anderson,2007,5,Kent Jones,Film Comment,US
My Golden Days,Arnaud Desplechin,2015,6,Kent Jones,Film Comment,US
Carlos,Olivier Assayas,2010,7,Kent Jones,Film Comment,US
A Serious Man,Joel and Ethan Coen,2009,8,Kent Jones,Film Comment,US
Moonrise Kingdom,Wes Anderson,2012,9,Kent Jones,Film Comment,US
The Son,Jean-Pierre and Luc Dardenne,2002,10,Kent Jones,Film Comment,US
The Headless Woman,Lucrecia Martel,2008,1,Manuel Kalmanovitz,Revista Semana,Colombia
Spirited Away,Hayao Miyazaki,2001,2,Manuel Kalmanovitz,Revista Semana,Colombia
Mulholland Drive,David Lynch,2001,3,Manuel Kalmanovitz,Revista Semana,Colombia
Sumas y Restas,Víctor Gaviria,2004,4,Manuel Kalmanovitz,Revista Semana,Colombia
Inside Out,Pete Docter,2015,5,Manuel Kalmanovitz,Revista Semana,Colombia
The Gleaners and I,Agnès Varda,2000,6,Manuel Kalmanovitz,Revista Semana,Colombia
The Return,Andrey Zvyagintsev,2003,7,Manuel Kalmanovitz,Revista Semana,Colombia
Regular Lovers,Philippe Garrel,2005,8,Manuel Kalmanovitz,Revista Semana,Colombia
Under the Skin,Jonathan Glazer,2013,9,Manuel Kalmanovitz,Revista Semana,Colombia
The Days When I Do Not Exist,Jean-Charles Fitoussi,2002,10,Manuel Kalmanovitz,Revista Semana,Colombia
The Tree of Life,Terrence Malick,2011,1,Dominik Kamalzadeh,Der Standard,Austria
Holy Motors,Leos Carax,2012,2,Dominik Kamalzadeh,Der Standard,Austria
Tabu,Miguel Gomes,2012,3,Dominik Kamalzadeh,Der Standard,Austria
A History of Violence,David Cronenberg,2005,4,Dominik Kamalzadeh,Der Standard,Austria
Tropical Malady,Apichatpong Weerasethakul,2004,5,Dominik Kamalzadeh,Der Standard,Austria
The Death of Mr Lazarescu,Cristi Puiu,2005,6,Dominik Kamalzadeh,Der Standard,Austria
Phoenix,Christian Petzold,2014,7,Dominik Kamalzadeh,Der Standard,Austria
Platform,Jia Zhangke,2000,8,Dominik Kamalzadeh,Der Standard,Austria
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,Jonas Mekas,2000,9,Dominik Kamalzadeh,Der Standard,Austria
Secret Sunshine,Lee Chang-dong,2007,10,Dominik Kamalzadeh,Der Standard,Austria
Lost in Translation,Sofia Coppola,2003,1,Dave Karger,Freelance,US
Silver Linings Playbook,David O. Russell,2012,2,Dave Karger,Freelance,US
Brooklyn,John Crowley,2015,3,Dave Karger,Freelance,US
Michael Clayton,Tony Gilroy,2007,4,Dave Karger,Freelance,US
Blue Valentine,Derek Cianfrance,2010,5,Dave Karger,Freelance,US
Amélie,Jean-Pierre Jeunet,2001,6,Dave Karger,Freelance,US
The Artist,Michel Hazanavicius,2011,7,Dave Karger,Freelance,US
The King’s Speech,Tom Hooper,2010,8,Dave Karger,Freelance,US
Vera Drake,Mike Leigh,2004,9,Dave Karger,Freelance,US
Wild,Jean-Marc Vallée,2014,10,Dave Karger,Freelance,US
Theeb,Naji Abou Nowar,2014,1,Butheina Kazim,Cinema Akil,UAE
A Time for Drunken Horses,Bahman Ghobadi,2000,2,Butheina Kazim,Cinema Akil,UAE
Oldboy,Park Chan-wook,2003,3,Butheina Kazim,Cinema Akil,UAE
Wild Tales,Damián Szifrón,2014,4,Butheina Kazim,Cinema Akil,UAE
Man on Wire,James Marsch,2008,5,Butheina Kazim,Cinema Akil,UAE
Only Lovers Left Alive,Jim Jarmusch,2013,6,Butheina Kazim,Cinema Akil,UAE
Kill Bill: Vol. 1,Quentin Tarantino,2003,7,Butheina Kazim,Cinema Akil,UAE
The Royal Tenenbaums,Wes Anderson,2001,8,Butheina Kazim,Cinema Akil,UAE
Days of Glory,Rachid Bouchareb,2006,9,Butheina Kazim,Cinema Akil,UAE
City of God,Fernando Meirelles and Kátia Lund,2002,10,Butheina Kazim,Cinema Akil,UAE
Hard to Be a God,Aleksey German,2013,1,Glenn Kenny,Freelance,US
Cosmos,Andrzej Zulawski,2015,2,Glenn Kenny,Freelance,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,3,Glenn Kenny,Freelance,US
Carlos,Olivier Assayas,2010,4,Glenn Kenny,Freelance,US
Che,Steven Soderbergh,2008,5,Glenn Kenny,Freelance,US
The Master,Paul Thomas Anderson,2012,6,Glenn Kenny,Freelance,US
There Will Be Blood,Paul Thomas Anderson,2007,7,Glenn Kenny,Freelance,US
The Intruder,Claire Denis,2004,8,Glenn Kenny,Freelance,US
Morvern Callar,Lynne Ramsay,2002,9,Glenn Kenny,Freelance,US
25th Hour,Spike Lee,2002,10,Glenn Kenny,Freelance,US
In the Mood for Love,Wong Kar-wai,2000,1,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Dogville,Lars von Trier,2003,2,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Ten,Abbas Kiarostami,2002,3,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
The White Ribbon,Michael Haneke,2009,4,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
The Circle,Jafar Panahi,2000,5,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Bad Education,Pedro Almodóvar,2005,6,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Rust and Bone,Jacques Audiard,2012,7,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
5x2,François Ozon,2004,8,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Russian Ark,Aleksandr Sokurov,2002,9,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Far From Heaven,Todd Haynes,2002,10,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
The Last of the Unjust,Claude Lanzmann,2013,1,Uri Klein,Haaretz,Israel
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,2,Uri Klein,Haaretz,Israel
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,3,Uri Klein,Haaretz,Israel
"Police, Adjective",Corneliu Porumboiu,2009,4,Uri Klein,Haaretz,Israel
Far From Heaven,Todd Haynes,2002,5,Uri Klein,Haaretz,Israel
The Pianist,Roman Polanski,2002,6,Uri Klein,Haaretz,Israel
Winter Sleep,Nuri Bilge Ceylan,2014,7,Uri Klein,Haaretz,Israel
Brokeback Mountain,Ang Lee,2005,8,Uri Klein,Haaretz,Israel
A Separation,Asghar Farhadi,2011,9,Uri Klein,Haaretz,Israel
Goodbye to Language,Jean-Luc Godard,2014,10,Uri Klein,Haaretz,Israel
Boyhood,Richard Linklater,2014,1,Eric Kohn,IndieWire,US
Holy Motors,Leos Carax,2012,2,Eric Kohn,IndieWire,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Eric Kohn,IndieWire,US
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,4,Eric Kohn,IndieWire,US
Enter the Void,Gaspar Noé,2009,5,Eric Kohn,IndieWire,US
Son of Saul,László Nemes,2015,6,Eric Kohn,IndieWire,US
Leviathan,Andrey Zvyagintsev,2014,7,Eric Kohn,IndieWire,US
The Act of Killing,Joshua Oppenheimer,2012,8,Eric Kohn,IndieWire,US
12 Years a Slave,Steve McQueen,2013,9,Eric Kohn,IndieWire,US
Idiocracy,Mike Judge,2006,10,Eric Kohn,IndieWire,US
Spirited Away,Hayao Miyazaki,2001,1,Dan Kois,Slate,US
Yi Yi: A One and a Two,Edward Yang,2000,2,Dan Kois,Slate,US
Before Sunset,Richard Linklater,2004,3,Dan Kois,Slate,US
You Can Count On Me,Kenneth Lonergan,2000,4,Dan Kois,Slate,US
Inside Out,Pete Docter,2015,5,Dan Kois,Slate,US
Morvern Callar,Lynne Ramsay,2012,6,Dan Kois,Slate,US
Stories We Tell,Sarah Polley,2012,7,Dan Kois,Slate,US
Animal Kingdom,David Michôd,2010,8,Dan Kois,Slate,US
Attack the Block,Joe Cornish,2011,9,Dan Kois,Slate,US
Jackass 3D,Jeff Tremaine,2010,10,Dan Kois,Slate,US
Mulholland Drive,David Lynch,2001,1,Michael Koresky,The Film Society of Lincoln Center,US
AI: Artificial Intelligence,Steven Spielberg,2001,2,Michael Koresky,The Film Society of Lincoln Center,US
The Tree of Life,Terrence Malick,2011,3,Michael Koresky,The Film Society of Lincoln Center,US
Syndromes and a Century,Apichatpong Weerasethakul,2006,4,Michael Koresky,The Film Society of Lincoln Center,US
What Time Is It There?,Tsai Ming-liang,2001,5,Michael Koresky,The Film Society of Lincoln Center,US
The Intruder,Claire Denis,2004,6,Michael Koresky,The Film Society of Lincoln Center,US
The Son,Jean-Pierre and Luc Dardenne,2002,7,Michael Koresky,The Film Society of Lincoln Center,US
Before Sunset,Richard Linklater,2004,8,Michael Koresky,The Film Society of Lincoln Center,US
The Headless Woman,Lucrecia Martel,2008,9,Michael Koresky,The Film Society of Lincoln Center,US
Femme Fatale,Brian De Palma,2002,10,Michael Koresky,The Film Society of Lincoln Center,US
A Separation,Asghar Farhadi,2011,1,Tomris Laffly,Freelance film critic,US
Brooklyn,John Crowley,2015,2,Tomris Laffly,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,3,Tomris Laffly,Freelance film critic,US
You Can Count On Me,Kenneth Lonergan,2000,4,Tomris Laffly,Freelance film critic,US
Vera Drake,Mike Leigh,2004,5,Tomris Laffly,Freelance film critic,US
Letters From Iwo Jima,Clint Eastwood,2006,6,Tomris Laffly,Freelance film critic,US
Nebraska,Alexander Payne,2013,7,Tomris Laffly,Freelance film critic,US
The Magdalene Sisters,Peter Mullan,2002,8,Tomris Laffly,Freelance film critic,US
Stories We Tell,Sarah Polley,2012,9,Tomris Laffly,Freelance film critic,US
Father of My Children,Mia Hansen-Løve,2009,10,Tomris Laffly,Freelance film critic,US
The Lives of Others,Florian Henckel von Donnersmarck,2006,1,Rebecca Laurence,BBC Culture,UK
The Act of Killing,Joshua Oppenheimer,2012,2,Rebecca Laurence,BBC Culture,UK
Fish Tank,Andrea Arnold,2009,3,Rebecca Laurence,BBC Culture,UK
Good Night and Good Luck,George Clooney,2005,4,Rebecca Laurence,BBC Culture,UK
The White Ribbon,Michael Haneke,2009,5,Rebecca Laurence,BBC Culture,UK
The Consequences of Love,Paolo Sorrentino,2004,6,Rebecca Laurence,BBC Culture,UK
No Country For Old Men,Joel and Ethan Coen,2007,7,Rebecca Laurence,BBC Culture,UK
A Separation,Asghar Farhadi,2011,8,Rebecca Laurence,BBC Culture,UK
Ratatouille,Brad Bird and Jan Pinkava,2007,9,Rebecca Laurence,BBC Culture,UK
In the Mood for Love,Wong Kar-wai,2000,10,Rebecca Laurence,BBC Culture,UK
Children of Men,Alfonso Cuarón,2006,1,Richard Lawson,Vanity Fair,US
No Country For Old Men,Joel and Ethan Coen,2007,2,Richard Lawson,Vanity Fair,US
Before Sunset,Richard Linklater,2004,3,Richard Lawson,Vanity Fair,US
Summer Hours,Olivier Assayas,2008,4,Richard Lawson,Vanity Fair,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,5,Richard Lawson,Vanity Fair,US
Wet Hot American Summer,David Wain,2001,6,Richard Lawson,Vanity Fair,US
Cast Away,Robert Zemeckis,2000,7,Richard Lawson,Vanity Fair,US
Caché,Michael Haneke,2005,8,Richard Lawson,Vanity Fair,US
Traffic,Steven Soderbergh,2000,9,Richard Lawson,Vanity Fair,US
Weekend,Andrew Haigh,2011,10,Richard Lawson,Vanity Fair,US
Yi Yi: A One and a Two,Edward Yang,2000,1,Maggie Lee,Variety,Hong Kong
Café Lumière,Hou Hsiao-hsien,2003,2,Maggie Lee,Variety,Hong Kong
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,3,Maggie Lee,Variety,Hong Kong
The White Ribbon,Michael Haneke,2009,4,Maggie Lee,Variety,Hong Kong
In the Mood for Love,Wong Kar-wai,2000,5,Maggie Lee,Variety,Hong Kong
Millennium Actress,Satoshi Kon,2001,6,Maggie Lee,Variety,Hong Kong
Spirited Away,Hayao Miyazaki,2001,7,Maggie Lee,Variety,Hong Kong
A Separation,Asghar Farhadi,2011,8,Maggie Lee,Variety,Hong Kong
35 Shots of Rum,Claire Denis,2008,9,Maggie Lee,Variety,Hong Kong
Toni Erdmann,Maren Ade,2016,10,Maggie Lee,Variety,Hong Kong
The Grand Budapest Hotel,Wes Anderson,2014,1,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Brooklyn,John Crowley,2015,2,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Mad Max: Fury Road,George Miller,2015,3,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Pan's Labyrinth,Guillermo Del Toro,2006,4,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Hotel Rwanda,Terry George,2004,5,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Silver Linings Playbook,David O. Russell,2012,6,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Birdman,Alejandro González Iñárritu,2014,7,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Inception,Christopher Nolan,2010,8,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
The Curious Case of Benjamin Button,David Fincher,2008,9,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Inglourious Basterds,Quentin Tarantino,2009,10,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Moulin Rouge!,Baz Luhrmann,2001,1,Guy Lodge,Variety/The Observer,UK
White Material,Claire Denis,2009,2,Guy Lodge,Variety/The Observer,UK
Birth,Jonathan Glazer,2004,3,Guy Lodge,Variety/The Observer,UK
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,4,Guy Lodge,Variety/The Observer,UK
Talk to Her,Pedro Almodóvar,2002,5,Guy Lodge,Variety/The Observer,UK
Wendy and Lucy,Kelly Reichardt,2008,6,Guy Lodge,Variety/The Observer,UK
Spirited Away,Hayao Miyazaki,2001,7,Guy Lodge,Variety/The Observer,UK
Gravity,Alfonso Cuarón,2013,8,Guy Lodge,Variety/The Observer,UK
Tabu,Miguel Gomes,2012,9,Guy Lodge,Variety/The Observer,UK
Weekend,Andrew Haigh,2011,10,Guy Lodge,Variety/The Observer,UK
