,properties.article,geometry.coordinates,geometry.type,properties.headline,properties.group_id,properties.group_name,properties.color,properties.radius
117,<div id='movie'><h1><b>Selected Movies</b></h1><P>Centochiodi: 1 vote</p><p>The Profession of Arms: 1 vote</P></div>,"[9.66951, 45.69523]",Point,"Ermanno Olmi's birthplace is Bergamo, Lombardy, Italy.",2,Liked by less people in China,#FADD5C,1.4142135623730951
118,<div id='movie'><h1><b>Selected Movies</b></h1><P>This Is the End: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
119,<div id='movie'><h1><b>Selected Movies</b></h1><P>Yossi & Jagger: 1 vote</P></div>,"[-74.00714, 40.71455]",Point,"Eytan Fox's birthplace is New York City, New York, USA.",4,Liked by more people in China,#FA3B00,1.0
120,<div id='movie'><h1><b>Selected Movies</b></h1><P>Nine Queens: 1 vote</P></div>,"[-58.37344, -34.60849]",Point,"Fabián Bielinsky's birthplace is Buenos Aires, Argentina.",1,Liked by more people in America,#0600AD,1.0
121,<div id='movie'><h1><b>Selected Movies</b></h1><P>Head-On: 1 vote</p><p>The Edge of Heaven: 1 vote</P></div>,"[10.04233, 53.62869]",Point,"Fatih Akin's birthplace is Hamburg, West Germany.",2,Liked by less people in China,#FADD5C,1.4142135623730951
122,<div id='movie'><h1><b>Selected Movies</b></h1><P>City of God: 10 votes</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,3.1622776601683795
124,<div id='movie'><h1><b>Selected Movies</b></h1><P>Twixt: 1 vote</P></div>,"[-83.048, 42.33168]",Point,"Francis Ford Coppola's birthplace is Detroit, Michigan, USA.",2,Liked by less people in China,#FADD5C,1.0
125,<div id='movie'><h1><b>Selected Movies</b></h1><P>At the First Breath of Wind: 1 vote</P></div>,"[10.63023, 45.40472]",Point,"Franco Piavoli's birthplace is Pozzolengo, Lombardy, Italy.",4,Liked by more people in China,#FA3B00,1.0
126,<div id='movie'><h1><b>Selected Movies</b></h1><P>5x2: 1 vote</P></div>,"[2.3414, 48.85717]",Point,"François Ozon's birthplace is Paris, France.",2,Liked by less people in China,#FADD5C,1.0
127,<div id='movie'><h1><b>Selected Movies</b></h1><P>In Jackson Heights: 1 vote</P></div>,"[-71.05674, 42.35866]",Point,"Frederick Wiseman's birthplace is Boston, Massachusetts, USA.",2,Liked by less people in China,#FADD5C,1.0
128,"<div id='movie'><h1><b>Selected Movies</b></h1><P>Eat, Sleep, Die: 1 vote</P></div>","[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
129,<div id='movie'><h1><b>Selected Movies</b></h1><P>Godzilla: 1 vote</P></div>,"[-1.46407, 52.52147]",Point,"Gareth Edwards's birthplace is Nuneaton, Warwickshire, England, UK.",2,Liked by less people in China,#FADD5C,1.0
130,<div id='movie'><h1><b>Selected Movies</b></h1><P>Enter the Void: 3 votes</p><p>Irreversible: 1 vote</P></div>,"[-58.37344, -34.60849]",Point,"Gaspar Noé's birthplace is Buenos Aires, Argentina.",1,Liked by more people in America,#0600AD,2.0
131,<div id='movie'><h1><b>Selected Movies</b></h1><P>Good Night and Good Luck: 2 votes</P></div>,"[-84.50032, 38.04859]",Point,"George Clooney's birthplace is Lexington, Kentucky, USA.",2,Liked by less people in China,#FADD5C,1.4142135623730951
133,<div id='movie'><h1><b>Selected Movies</b></h1><P>Mad Max: Fury Road: 14 votes</P></div>,"[150.63017, -26.73971]",Point,"George Miller's birthplace is Chinchilla, Queensland, Australia.",2,Liked by less people in China,#FADD5C,3.7416573867739413
134,<div id='movie'><h1><b>Selected Movies</b></h1><P>Wolff Von Amerongen: Did He Commit Bankruptcy Offences?: 1 vote</P></div>,"[13.78351, 47.60963]",Point,"Gerhard Benedikt Friedl's birthplace is Bad Aussee, Styria, Austria.",1,Liked by more people in America,#0600AD,1.0
135,<div id='movie'><h1><b>Selected Movies</b></h1><P>Love & Basketball: 2 votes</P></div>,"[-77.03196, 38.89037]",Point,Gina Prince-Bythewood's birthplace is USA.,2,Liked by less people in China,#FADD5C,1.4142135623730951
136,<div id='movie'><h1><b>Selected Movies</b></h1><P>Adventureland: 1 vote</P></div>,"[-73.85301, 40.73718]",Point,"Greg Mottola's birthplace is Dix Hills, Long Island, New York, USA.",2,Liked by less people in China,#FADD5C,1.0
137,<div id='movie'><h1><b>Selected Movies</b></h1><P>Pan's Labyrinth: 17 votes</P></div>,"[-103.35104, 20.68758]",Point,"Guillermo Del Toro's birthplace is Guadalajara, Jalisco, Mexico.",1,Liked by more people in America,#0600AD,4.123105625617661
138,<div id='movie'><h1><b>Selected Movies</b></h1><P>Bend It Like Beckham: 1 vote</P></div>,"[36.82379, -1.28352]",Point,"Gurinder Chadha's birthplace is Nairobi, Kenya.",1,Liked by more people in America,#0600AD,1.0
139,<div id='movie'><h1><b>Selected Movies</b></h1><P>Elephant: 6 votes</p><p>Gerry: 1 vote</P></div>,"[-85.76666, 38.25489]",Point,"Gus Van Sant's birthplace is Louisville, Kentucky, USA.",2,Liked by less people in China,#FADD5C,2.6457513110645907
140,<div id='movie'><h1><b>Selected Movies</b></h1><P>My Winnipeg: 3 votes</P></div>,"[-97.14113, 49.89953]",Point,"Guy Maddin's birthplace is Winnipeg, Manitoba, Canada.",2,Liked by less people in China,#FADD5C,1.7320508075688772
141,<div id='movie'><h1><b>Selected Movies</b></h1><P>Paradise Now: 2 votes</P></div>,"[35.29315, 32.7001]",Point,"Hany Abu-Assad's birthplace is Nazareth, Israel.",2,Liked by less people in China,#FADD5C,1.4142135623730951
142,<div id='movie'><h1><b>Selected Movies</b></h1><P>Spring Breakers: 7 votes</P></div>,"[-122.68936, 37.91072]",Point,"Harmony Korine's birthplace is Bolinas, California, USA.",2,Liked by less people in China,#FADD5C,2.6457513110645907
143,<div id='movie'><h1><b>Selected Movies</b></h1><P>Spirited Away: 34 votes</p><p>The Wind Rises: 1 vote</P></div>,"[139.80885, 35.68408]",Point,"Hayao Miyazaki's birthplace is Tokyo, Japan.",4,Liked by more people in China,#FA3B00,5.916079783099616
144,<div id='movie'><h1><b>Selected Movies</b></h1><P>Still Walking: 3 votes</p><p>Nobody Knows: 1 vote</P></div>,"[139.80885, 35.68408]",Point,"Hirokazu Koreeda's birthplace is Tokyo, Japan.",4,Liked by more people in China,#FA3B00,2.0
145,"<div id='movie'><h1><b>Selected Movies</b></h1><P>Right Now, Wrong Then: 1 vote</p><p>Woman on the Beach: 1 vote</P></div>","[126.99989, 37.55886]",Point,"Hong Sang-soo's birthplace is Seoul, Korea.",4,Liked by more people in China,#FA3B00,1.4142135623730951
146,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Assassin: 5 votes</p><p>Café Lumière: 2 votes</p><p>Millennium Mambo: 2 votes</p><p>Three Times: 1 vote</P></div>,"[105.84591, 10.52592]",Point,"Hou Hsiao-hsien's birthplace is Meixian, Guangdong, China.",4,Liked by more people in China,#FA3B00,3.1622776601683795
147,<div id='movie'><h1><b>Selected Movies</b></h1><P>Saraband: 1 vote</P></div>,"[17.64373, 59.85862]",Point,"Ingmar Bergman's birthplace is Uppsala, Uppsala län, Sweden.",2,Liked by less people in China,#FADD5C,1.0
148,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Orphanage: 1 vote</P></div>,"[2.17001, 41.38804]",Point,"J. A. Bayona's birthplace is Barcelona, Catalonia, Spain.",2,Liked by less people in China,#FADD5C,1.0
149,<div id='movie'><h1><b>Selected Movies</b></h1><P>Star Trek: 1 vote</p><p>Star Wars: Episode VII – The Force Awakens: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,1,Liked by more people in America,#0600AD,1.4142135623730951
150,<div id='movie'><h1><b>Selected Movies</b></h1><P>Girl Walk: All Day: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
151,<div id='movie'><h1><b>Selected Movies</b></h1><P>A Prophet: 7 votes</p><p>Rust and Bone: 1 vote</p><p>The Beat That My Heart Skipped: 1 vote</P></div>,"[2.3414, 48.85717]",Point,"Jacques Audiard's birthplace is Paris, France.",2,Liked by less people in China,#FADD5C,3.0
152,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Story of Marie and Julien: 2 votes</P></div>,"[1.0894, 49.44014]",Point,"Jacques Rivette's birthplace is Rouen, Seine-Inférieure [now Seine-Maritime], France.",2,Liked by less people in China,#FADD5C,1.4142135623730951
153,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Circle: 2 votes</p><p>Closed Curtain: 1 vote</p><p>Crimson Gold: 1 vote</p><p>Taxi Tehran: 1 vote</P></div>,"[47.66048, 37.47641]",Point,"Jafar Panahi's birthplace is Mianeh, Azarbaijan Province, Iran.",2,Liked by less people in China,#FADD5C,2.23606797749979
154,<div id='movie'><h1><b>Selected Movies</b></h1><P>Avatar: 2 votes</P></div>,"[-82.42522, 49.4178]",Point,"James Cameron's birthplace is Kapuskasing, Ontario, Canada.",2,Liked by less people in China,#FADD5C,1.4142135623730951
155,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Yards: 1 vote</p><p>Two Lovers: 1 vote</P></div>,"[-74.00714, 40.71455]",Point,"James Gray's birthplace is New York City, New York, USA.",2,Liked by less people in China,#FADD5C,1.4142135623730951
156,<div id='movie'><h1><b>Selected Movies</b></h1><P>Man on Wire: 2 votes</p><p>Man on Wire: 2 votes</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,2.0
157,<div id='movie'><h1><b>Selected Movies</b></h1><P>Man on Wire: 1 vote</p><p>Man on Wire: 1 vote</P></div>,"[-5.0536, 50.26526]",Point,"James Marsh's birthplace is Truro, Cornwall, England, UK.",2,Liked by less people in China,#FADD5C,1.4142135623730951
158,<div id='movie'><h1><b>Selected Movies</b></h1><P>Bright Star: 1 vote</P></div>,"[174.7769, -41.28952]",Point,"Jane Campion's birthplace is Wellington, New Zealand.",4,Liked by more people in China,#FA3B00,1.0
159,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Fourth Watch: 1 vote</P></div>,"[-91.18664, 30.44335]",Point,"Janie Geiser's birthplace is Baton Rouge, Louisiana, USA.",1,Liked by more people in America,#0600AD,1.0
160,<div id='movie'><h1><b>Selected Movies</b></h1><P>Young Adult: 1 vote</P></div>,"[-73.55469, 45.5124]",Point,"Jason Reitman's birthplace is Montreal, Quebec, Canada.",1,Liked by more people in America,#0600AD,1.0
161,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Days When I Do Not Exist: 1 vote</P></div>,"[0.68957, 47.38846]",Point,"Jean-Charles Fitoussi's birthplace is Tours, France.",1,Liked by more people in America,#0600AD,1.0
162,<div id='movie'><h1><b>Selected Movies</b></h1><P>Secret Things: 1 vote</P></div>,"[2.3414, 48.85717]",Point,"Jean-Claude Brisseau's birthplace is Paris, France.",2,Liked by less people in China,#FADD5C,1.0
163,<div id='movie'><h1><b>Selected Movies</b></h1><P>Even If She Had Been a Criminal...: 1 vote</P></div>,"[1.04933, 46.12185]",Point,"Jean-Gabriel Périot's birthplace is Bellac, Haute-Vienne, France.",1,Liked by more people in America,#0600AD,1.0
164,<div id='movie'><h1><b>Selected Movies</b></h1><P>Goodbye to Language: 6 votes</p><p>Film socialisme: 2 votes</p><p>In Praise of Love: 1 vote</p><p>Notre musique: 1 vote</P></div>,"[2.3414, 48.85717]",Point,"Jean-Luc Godard's birthplace is Paris, France.",2,Liked by less people in China,#FADD5C,3.1622776601683795
165,<div id='movie'><h1><b>Selected Movies</b></h1><P>Wild: 1 vote</P></div>,"[-73.55469, 45.5124]",Point,"Jean-Marc Vallée's birthplace is Montreal, Quebec, Canada.",2,Liked by less people in China,#FADD5C,1.0
166,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Colonial Misunderstanding: 1 vote</P></div>,"[10.08482, 5.47007]",Point,"Jean-Marie Téno's birthplace is Famleng, Cameroon.",1,Liked by more people in America,#0600AD,1.0
167,<div id='movie'><h1><b>Selected Movies</b></h1><P>Amélie: 5 votes</P></div>,"[4.07251, 46.03531]",Point,"Jean-Pierre Jeunet's birthplace is Roanne, Loire, Rhône-Alpes, France.",4,Liked by more people in China,#FA3B00,2.23606797749979
168,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Son: 5 votes</p><p>The Child: 2 votes</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,2.6457513110645907
169,<div id='movie'><h1><b>Selected Movies</b></h1><P>Take Shelter: 1 vote</P></div>,"[-92.27485, 34.7487]",Point,"Jeff Nichols's birthplace is Little Rock, Arkansas, USA.",1,Liked by more people in America,#0600AD,1.0
170,<div id='movie'><h1><b>Selected Movies</b></h1><P>Jackass 3D: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
171,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Babadook: 2 votes</P></div>,"[153.02334, -27.46844]",Point,"Jennifer Kent's birthplace is Brisbane, Queensland, Australia.",1,Liked by more people in America,#0600AD,1.4142135623730951
172,<div id='movie'><h1><b>Selected Movies</b></h1><P>Lourdes: 1 vote</P></div>,"[16.36842, 48.20263]",Point,"Jessica Hausner's birthplace is Vienna, Austria.",2,Liked by less people in China,#FADD5C,1.0
173,<div id='movie'><h1><b>Selected Movies</b></h1><P>A Touch of Sin: 4 votes</p><p>Platform: 3 votes</p><p>Still Life: 3 votes</p><p>The World: 3 votes</P></div>,"[2.6138, 6.48812]",Point,,4,Liked by more people in China,#FA3B00,3.605551275463989
174,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Sun Also Rises: 1 vote</P></div>,"[151.67703, -24.37842]",Point,"Jiang Wen's birthplace is Tangshan, China.",2,Liked by less people in China,#FADD5C,1.0
175,<div id='movie'><h1><b>Selected Movies</b></h1><P>Cuba: An African Odyssey: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,1,Liked by more people in America,#0600AD,1.0
176,<div id='movie'><h1><b>Selected Movies</b></h1><P>Only Lovers Left Alive: 7 votes</P></div>,"[-81.51431, 41.08431]",Point,"Jim Jarmusch's birthplace is Akron, Ohio, USA.",2,Liked by less people in China,#FADD5C,2.6457513110645907
177,<div id='movie'><h1><b>Selected Movies</b></h1><P>Archipelago: 1 vote</P></div>,"[-0.12719, 51.50643]",Point,"Joanna Hogg's birthplace is London, England, UK.",2,Liked by less people in China,#FADD5C,1.0
179,"<div id='movie'><h1><b>Selected Movies</b></h1><P>No Country For Old Men: 21 votes</p><p>Inside Llewyn Davis: 20 votes</p><p>A Serious Man: 8 votes</p><p>O Brother, Where Art Thou?: 3 votes</P></div>","[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,7.211102550927978
180,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Stuart Hall Project: 1 vote</P></div>,"[-0.12719, 51.50643]",Point,"John Akomfrah's birthplace is London, England, UK.",1,Liked by more people in America,#0600AD,1.0
181,<div id='movie'><h1><b>Selected Movies</b></h1><P>Hedwig and the Angry Inch: 1 vote</P></div>,"[-106.48749, 31.75916]",Point,"John Cameron Mitchell's birthplace is El Paso, Texas, USA.",2,Liked by less people in China,#FADD5C,1.0
182,<div id='movie'><h1><b>Selected Movies</b></h1><P>Once: 1 vote</P></div>,"[-6.24827, 53.34807]",Point,"John Carney's birthplace is Dublin, Ireland.",4,Liked by more people in China,#FA3B00,1.0
183,<div id='movie'><h1><b>Selected Movies</b></h1><P>Brooklyn: 6 votes</P></div>,"[-8.47281, 51.89832]",Point,"John Crowley's birthplace is Cork, Ireland.",2,Liked by less people in China,#FADD5C,2.449489742783178
184,<div id='movie'><h1><b>Selected Movies</b></h1><P>Profit Motive and the Whispering Wind: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,1,Liked by more people in America,#0600AD,1.0
185,<div id='movie'><h1><b>Selected Movies</b></h1><P>Sparrow: 1 vote</P></div>,"[114.17612, 22.27683]",Point,Johnnie To's birthplace is Hong Kong.,4,Liked by more people in China,#FA3B00,1.0
186,<div id='movie'><h1><b>Selected Movies</b></h1><P>As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty: 1 vote</P></div>,"[23.60377, 54.31785]",Point,"Jonas Mekas's birthplace is Semeniskiai, Lithuania.",2,Liked by less people in China,#FADD5C,1.0
187,<div id='movie'><h1><b>Selected Movies</b></h1><P>Under the Skin: 7 votes</p><p>Birth: 2 votes</p><p>Sexy Beast: 2 votes</P></div>,"[-0.12719, 51.50643]",Point,"Jonathan Glazer's birthplace is London, England, UK.",2,Liked by less people in China,#FADD5C,3.3166247903554
188,<div id='movie'><h1><b>Selected Movies</b></h1><P>Footnote: 1 vote</P></div>,"[-74.00714, 40.71455]",Point,"Joseph Cedar's birthplace is New York City, New York, USA.",2,Liked by less people in China,#FADD5C,1.0
189,<div id='movie'><h1><b>Selected Movies</b></h1><P>Detention: 1 vote</P></div>,"[7.40042, 46.29698]",Point,Joseph Kahn's birthplace is 1972.,1,Liked by more people in America,#0600AD,1.0
190,<div id='movie'><h1><b>Selected Movies</b></h1><P>Butter on the Latch: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,1,Liked by more people in America,#0600AD,1.0
191,<div id='movie'><h1><b>Selected Movies</b></h1><P>Heaven Knows What: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
192,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Act of Killing: 16 votes</p><p>The Look of Silence: 4 votes</P></div>,"[-97.74299, 30.26759]",Point,"Joshua Oppenheimer's birthplace is Texas, USA.",2,Liked by less people in China,#FADD5C,4.47213595499958
193,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Avengers: 1 vote</P></div>,"[-74.00714, 40.71455]",Point,"Joss Whedon's birthplace is New York City, New York, USA.",2,Liked by less people in China,#FADD5C,1.0
194,<div id='movie'><h1><b>Selected Movies</b></h1><P>To Die Like a Man: 1 vote</P></div>,"[-9.14948, 38.72639]",Point,"João Pedro Rodrigues's birthplace is Lisbon, Portugal.",2,Liked by less people in China,#FADD5C,1.0
195,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Secret in Their Eyes: 3 votes</P></div>,"[-58.37344, -34.60849]",Point,"Juan José Campanella's birthplace is Buenos Aires, Argentina.",2,Liked by less people in China,#FADD5C,1.7320508075688772
197,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Diving Bell and the Butterfly: 5 votes</P></div>,"[-73.99036, 40.69245]",Point,"Julian Schnabel's birthplace is Brooklyn, New York, USA.",1,Liked by more people in America,#0600AD,2.23606797749979
198,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Five Obstructions: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
200,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Hurt Locker: 6 votes</p><p>Zero Dark Thirty: 5 votes</P></div>,"[-122.26281, 37.50494]",Point,"Kathryn Bigelow's birthplace is San Carlos, California, USA.",2,Liked by less people in China,#FADD5C,3.3166247903554
201,<div id='movie'><h1><b>Selected Movies</b></h1><P>Wendy and Lucy: 2 votes</p><p>Meek's Cutoff: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.7320508075688772
202,<div id='movie'><h1><b>Selected Movies</b></h1><P>Capitalism: Child Labor: 1 vote</P></div>,"[-73.94814, 40.70314]",Point,"Ken Jacobs's birthplace is Williamsburg, Brooklyn, New York City, New York, USA.",4,Liked by more people in China,#FA3B00,1.0
203,<div id='movie'><h1><b>Selected Movies</b></h1><P>Sweet Sixteen: 1 vote</P></div>,"[-1.46407, 52.52147]",Point,"Ken Loach's birthplace is Nuneaton, Warwickshire, England, UK.",3,Liked by less people in America,#38FFE1,1.0
204,<div id='movie'><h1><b>Selected Movies</b></h1><P>Margaret: 9 votes</p><p>Manchester by the Sea: 3 votes</p><p>You Can Count On Me: 3 votes</p><p>You Can Count on Me Me: 1 vote</P></div>,"[-74.00714, 40.71455]",Point,"Kenneth Lonergan's birthplace is New York City, New York, USA.",2,Liked by less people in China,#FADD5C,4.0
205,<div id='movie'><h1><b>Selected Movies</b></h1><P>Open Range: 1 vote</P></div>,"[-118.19927, 33.92783]",Point,"Kevin Costner's birthplace is Lynwood, California, USA.",2,Liked by less people in China,#FADD5C,1.0
206,<div id='movie'><h1><b>Selected Movies</b></h1><P>A Letter to Nelson Mandela: 1 vote</p><p>Conversations on a Sunday Afternoon: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,4,Liked by more people in China,#FA3B00,1.4142135623730951
207,<div id='movie'><h1><b>Selected Movies</b></h1><P>A Tale of Two Sisters: 1 vote</P></div>,"[126.99989, 37.55886]",Point,"Kim Jee-woon's birthplace is Seoul, South Korea.",2,Liked by less people in China,#FADD5C,1.0
208,"<div id='movie'><h1><b>Selected Movies</b></h1><P>Spring, Summer, Fall, Winter…and Spring: 4 votes</p><p>3-Iron: 2 votes</P></div>","[128.74362, 36.90384]",Point,"Kim Ki-duk's birthplace is Bonghwa, South Korea.",4,Liked by more people in China,#FA3B00,2.449489742783178
209,<div id='movie'><h1><b>Selected Movies</b></h1><P>Battle Royale: 1 vote</P></div>,"[134.14872, 33.77773]",Point,"Kinji Fukasaku's birthplace is Mito, Japan.",4,Liked by more people in China,#FA3B00,1.0
210,<div id='movie'><h1><b>Selected Movies</b></h1><P>Pulse: 3 votes</p><p>Seventh Code: 1 vote</P></div>,"[135.22243, 34.70388]",Point,"Kiyoshi Kurosawa's birthplace is Kobe, Japan.",2,Liked by less people in China,#FADD5C,2.0
211,<div id='movie'><h1><b>Selected Movies</b></h1><P>Neighboring Sounds: 1 vote</P></div>,"[-34.87035, -8.05603]",Point,"Kleber Mendonça Filho's birthplace is Recife, Pernambuco, Brazil.",2,Liked by less people in China,#FADD5C,1.0
212,<div id='movie'><h1><b>Selected Movies</b></h1><P>Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan: 5 votes</P></div>,"[-73.99162, 40.70181]",Point,"Larry Charles's birthplace is Brooklyn, New York City, New York, USA.",2,Liked by less people in China,#FADD5C,2.23606797749979
213,<div id='movie'><h1><b>Selected Movies</b></h1><P>Melancholia: 7 votes</p><p>Dogville: 5 votes</p><p>Antichrist: 2 votes</p><p>Dancer in the Dark: 2 votes</P></div>,"[12.56756, 55.67567]",Point,"Lars von Trier's birthplace is Copenhagen, Denmark.",2,Liked by less people in China,#FADD5C,4.0
214,<div id='movie'><h1><b>Selected Movies</b></h1><P>Time Out: 1 vote</P></div>,"[-0.14335, 46.22172]",Point,"Laurent Cantet's birthplace is Melle, Deux-Sevres, France.",2,Liked by less people in China,#FADD5C,1.0
215,<div id='movie'><h1><b>Selected Movies</b></h1><P>Heart of a Dog: 1 vote</P></div>,"[-88.06612, 41.87546]",Point,"Laurie Anderson's birthplace is Glen Ellyn, Illinois, USA.",2,Liked by less people in China,#FADD5C,1.0
216,"<div id='movie'><h1><b>Selected Movies</b></h1><P>Norte, the End of History: 2 votes</p><p>Evolution of a Filipino Family: 1 vote</p><p>From What Is Before: 1 vote</P></div>","[124.85332, 6.78103]",Point,"Lav Diaz's birthplace is Datu Paglas, Maguindanao, Mindanao, Philippines.",1,Liked by more people in America,#0600AD,2.0
217,<div id='movie'><h1><b>Selected Movies</b></h1><P>Secret Sunshine: 4 votes</p><p>Oasis: 1 vote</p><p>Poetry: 1 vote</P></div>,"[128.61034, 35.85402]",Point,"Lee Chang-dong's birthplace is Daegu, South Korea.",4,Liked by more people in China,#FA3B00,2.449489742783178
218,<div id='movie'><h1><b>Selected Movies</b></h1><P>Toy Story 3: 3 votes</P></div>,"[-81.69074, 41.50473]",Point,"Lee Unkrich's birthplace is Cleveland, Ohio, USA.",2,Liked by less people in China,#FADD5C,1.7320508075688772
219,<div id='movie'><h1><b>Selected Movies</b></h1><P>Holy Motors: 16 votes</P></div>,"[2.22612, 48.86773]",Point,"Leos Carax's birthplace is Suresnes, Seine [now Hauts-de-Seine], France.",2,Liked by less people in China,#FADD5C,4.0
221,<div id='movie'><h1><b>Selected Movies</b></h1><P>I Am Love: 2 votes</P></div>,"[13.36112, 38.12207]",Point,"Luca Guadagnino's birthplace is Palermo, Sicily, Italy.",2,Liked by less people in China,#FADD5C,1.4142135623730951
222,<div id='movie'><h1><b>Selected Movies</b></h1><P>Leviathan: 1 vote</p><p>Leviathan: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.4142135623730951
223,<div id='movie'><h1><b>Selected Movies</b></h1><P>The Headless Woman: 6 votes</p><p>La Ciénaga: 1 vote</p><p>The Holy Girl: 1 vote</P></div>,"[-65.41023, -24.78864]",Point,"Lucrecia Martel's birthplace is Salta, Argentina.",2,Liked by less people in China,#FADD5C,2.8284271247461903
224,<div id='movie'><h1><b>Selected Movies</b></h1><P>Storia di una donna amata e di un assassino gentile: 1 vote</P></div>,"[9.90999, 44.07609]",Point,"Luigi M. Faccini's birthplace is Lerici, Italy.",1,Liked by more people in America,#0600AD,1.0
225,<div id='movie'><h1><b>Selected Movies</b></h1><P>Lilya 4-Ever: 2 votes</P></div>,"[13.0011, 55.59669]",Point,"Lukas Moodysson's birthplace is Malmö, Skåne län, Sweden.",2,Liked by less people in China,#FADD5C,1.4142135623730951
226,<div id='movie'><h1><b>Selected Movies</b></h1><P>All Divided Selves: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,4,Liked by more people in China,#FA3B00,1.0
227,<div id='movie'><h1><b>Selected Movies</b></h1><P>We Need to Talk About Kevin: 3 votes</p><p>Morvern Callar: 2 votes</p><p>Morvern Callar: 2 votes</P></div>,"[-4.13431, 55.8096]",Point,"Lynne Ramsay's birthplace is Glasgow, Strathclyde, Scotland, UK.",2,Liked by less people in China,#FADD5C,2.6457513110645907
228,<div id='movie'><h1><b>Selected Movies</b></h1><P>Son of Saul: 10 votes</P></div>,"[19.05508, 47.49972]",Point,"László Nemes's birthplace is Budapest, Hungary.",1,Liked by more people in America,#0600AD,3.1622776601683795
229,"<div id='movie'><h1><b>Selected Movies</b></h1><P>Sexe, gombo et beurre salé: 1 vote</P></div>","[20.83139, 13.824]",Point,"Mahamat-Saleh Haroun's birthplace is Abéché, Chad.",1,Liked by more people in America,#0600AD,1.0
230,<div id='movie'><h1><b>Selected Movies</b></h1><P>Men at Work: 1 vote</P></div>,"[51.41503, 35.68877]",Point,"Mani Haghighi's birthplace is Tehran, Iran.",1,Liked by more people in America,#0600AD,1.0
231,<div id='movie'><h1><b>Selected Movies</b></h1><P>I’m Going Home: 1 vote</p><p>The Strange Case of Angelica: 1 vote</P></div>,"[-8.61081, 41.14584]",Point,"Manoel de Oliveira's birthplace is Oporto, Portugal.",2,Liked by less people in China,#FADD5C,1.4142135623730951
232,<div id='movie'><h1><b>Selected Movies</b></h1><P>Vincere: 1 vote</P></div>,"[9.70176, 45.0566]",Point,"Marco Bellocchio's birthplace is Piacenza, Emilia-Romagna, Italy.",2,Liked by less people in China,#FADD5C,1.0
234,<div id='movie'><h1><b>Selected Movies</b></h1><P>Toni Erdmann: 6 votes</p><p>Everyone Else: 1 vote</p><p>The Forest for the Trees: 1 vote</P></div>,"[8.40845, 49.01094]",Point,"Maren Ade's birthplace is Karlsruhe, Baden-Württemberg, Germany.",1,Liked by more people in America,#0600AD,2.8284271247461903
235,<div id='movie'><h1><b>Selected Movies</b></h1><P>Extraordinary Stories: 1 vote</P></div>,"[-58.37344, -34.60849]",Point,"Mariano Llinás's birthplace is Buenos Aires, Argentina.",2,Liked by less people in China,#FADD5C,1.0
236,<div id='movie'><h1><b>Selected Movies</b></h1><P>Crank: 1 vote</P></div>,"[2.6138, 6.48812]",Point,,2,Liked by less people in China,#FADD5C,1.0
