name,birth_place,lat,lng,geometry.coordinates
Paolo Sorrentino,"Naples, Campania, Italy",40.84016,14.25222,"[14.25222, 40.84016]"
Mia Hansen-Løve,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Terry Zwigoff,"Appleton, Wisconsin, USA",44.26178,-88.41714,"[-88.41714, 44.26178]"
Kelly Reichardt,,6.48812,2.6138,"[2.6138, 6.48812]"
Arnaud Desplechin,"Roubaix, Nord, France",50.69143,3.17318,"[3.17318, 50.69143]"
Olivier Assayas,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Víctor Gaviria,"Medellin, Colombia",6.24589,-75.57457,"[-75.57457, 6.24589]"
Philippe Garrel,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Jean-Charles Fitoussi,"Tours, France",47.38846,0.68957,"[0.68957, 47.38846]"
Christian Petzold,"Hilden, North Rhine-Westphalia, Germany",51.17002,6.93704,"[6.93704, 51.17002]"
Jonas Mekas,"Semeniskiai, Lithuania",54.31785,23.60377,"[23.60377, 54.31785]"
Michel Hazanavicius,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Tom Hooper,"London, England, UK",51.50643,-0.12719,"[-0.12719, 51.50643]"
Jean-Marc Vallée,"Montreal, Quebec, Canada",45.5124,-73.55469,"[-73.55469, 45.5124]"
Naji Abou Nowar,"Oxford, Oxfordshire, England, UK",51.75629,-1.25951,"[-1.25951, 51.75629]"
Bahman Ghobadi,"Baneh, Iran",35.97076,45.91257,"[45.91257, 35.97076]"
James Marsch,,6.48812,2.6138,"[2.6138, 6.48812]"
Rachid Bouchareb,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Andrzej Zulawski,"Lwów, Lwowskie, Poland [now Lviv, Ukraine]",49.83734,24.01206,"[24.01206, 49.83734]"
François Ozon,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Corneliu Porumboiu,"Vaslui, Romania",46.6385,27.73306,"[27.73306, 46.6385]"
Jeff Tremaine,,6.48812,2.6138,"[2.6138, 6.48812]"
Peter Mullan,"Peterhead, Scotland, UK",57.50651,-1.79722,"[-1.79722, 57.50651]"
David Wain,"Shaker Heights, Ohio, USA",41.47041,-81.565,"[-81.565, 41.47041]"
Robert Zemeckis,"Chicago, Illinois, USA",41.88425,-87.63245,"[-87.63245, 41.88425]"
Satoshi Kon,"Sapporo, Hokkaido, Japan",43.05856,141.36867,"[141.36867, 43.05856]"
Terry George,"Belfast, Northern Ireland, UK",54.59534,-5.93455,"[-5.93455, 54.59534]"
Debra Granik,"Cambridge, Massachusetts, USA",42.36679,-71.10601,"[-71.10601, 42.36679]"
Duncan Jones,"Bromley, Kent, England, UK",51.40573,0.01506,"[0.01506, 51.40573]"
Agnès Jaoui,"Antony, Hauts-de-Seine, France",48.75366,2.30513,"[2.30513, 48.75366]"
Andrew Dominik,"Wellington, New Zealand",-41.28952,174.7769,"[174.7769, -41.28952]"
Peter Jackson,"Pukerua Bay, North Island, New Zealand",-41.0368,174.88566,"[174.88566, -41.0368]"
Nouri Bouzid,,6.48812,2.6138,"[2.6138, 6.48812]"
Rehad Desai,,6.48812,2.6138,"[2.6138, 6.48812]"
Mohamed Diab,"Ismailia, Egypt",30.60312,32.27937,"[32.27937, 30.60312]"
Oliver Schmitz,"Cape Town, South Africa",-33.91909,18.42198,"[18.42198, -33.91909]"
Tom McCarthy,"New Providence, New Jersey, USA",40.70967,-74.40226,"[-74.40226, 40.70967]"
Dror Moreh,,6.48812,2.6138,"[2.6138, 6.48812]"
Mark Neveldine and Brian Taylor,,6.48812,2.6138,"[2.6138, 6.48812]"
Mark Neveldine and Brian Taylor,,6.48812,2.6138,"[2.6138, 6.48812]"
Patricio Guzmán,"Santiago, Chile",-33.43722,-70.65002,"[-70.65002, -33.43722]"
Víctor Erice,"Karrantza, Vizcaya, País Vasco, Spain",43.31077,-3.00097,"[-3.00097, 43.31077]"
Stephen Chow,Hong Kong,22.27683,114.17612,"[114.17612, 22.27683]"
Peter Tscherkassky,"Vienna, Austria",48.20263,16.36842,"[16.36842, 48.20263]"
Philippe Grandrieux,"Saint-Étienne, Loire, Rhône-Alpes, France",45.43988,4.39553,"[4.39553, 45.43988]"
Joseph Kahn,1972,46.29698,7.40042,"[7.40042, 46.29698]"
Rita Azevedo Gomes,,6.48812,2.6138,"[2.6138, 6.48812]"
Sidney Lumet,"Philadelphia, Pennsylvania, USA",39.95222,-75.16218,"[-75.16218, 39.95222]"
Woody Allen,"Bronx, New York City, New York, USA",40.85107,-73.84899,"[-73.84899, 40.85107]"
Alain Resnais,"Vannes, Morbihan, France",47.65834,-2.75985,"[-2.75985, 47.65834]"
Manoel de Oliveira,"Oporto, Portugal",41.14584,-8.61081,"[-8.61081, 41.14584]"
Michelangelo Antonioni,"Ferrara, Emilia-Romagna, Italy",44.83837,11.61941,"[11.61941, 44.83837]"
Charles Burnett,"Vicksburg, Mississippi, USA",32.35004,-90.88155,"[-90.88155, 32.35004]"
John Cameron Mitchell,"El Paso, Texas, USA",31.75916,-106.48749,"[-106.48749, 31.75916]"
Kinji Fukasaku,"Mito, Japan",33.77773,134.14872,"[134.14872, 33.77773]"
André Singer,,6.48812,2.6138,"[2.6138, 6.48812]"
Christopher Guest,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Wolfgang Becker,"Hemer, North Rhine-Westphalia, Germany",51.38202,7.76787,"[7.76787, 51.38202]"
Uli Edel,"Neuenburg am Rhein, Germany",47.81394,7.56018,"[7.56018, 47.81394]"
Nick Cassavetes,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Jason Reitman,"Montreal, Quebec, Canada",45.5124,-73.55469,"[-73.55469, 45.5124]"
Ben Stiller,"New York City, New York, USA",40.71455,-74.00714,"[-74.00714, 40.71455]"
Stephen Frears,"Leicester, Leicestershire, England, UK",52.63796,-1.14042,"[-1.14042, 52.63796]"
Bart Layton,,6.48812,2.6138,"[2.6138, 6.48812]"
Ana Lily Amirpour,"Margate, Kent, England, UK",51.38691,1.3791,"[1.3791, 51.38691]"
S. Craig Zahler,"Miami, Florida, USA",25.77481,-80.19773,"[-80.19773, 25.77481]"
Luke Fowler,,6.48812,2.6138,"[2.6138, 6.48812]"
Terence Davies,"Liverpool, England, UK",53.41005,-2.9784,"[-2.9784, 53.41005]"
Steven Knight,"Marlborough, England, UK",51.42132,-1.7299,"[-1.7299, 51.42132]"
Cary Joji Fukunaga,"Oakland, California, USA",37.80508,-122.27307,"[-122.27307, 37.80508]"
James Marsh,"Truro, Cornwall, England, UK",50.26526,-5.0536,"[-5.0536, 50.26526]"
Ben Rivers,"Somerset, England, UK",51.06249,-3.04354,"[-3.04354, 51.06249]"
Pietro Marcello,"Caserta, Campania, Italy",41.07014,14.33161,"[14.33161, 41.07014]"
Naomi Kawase,"Nara, Japan",34.68675,135.81506,"[135.81506, 34.68675]"
Francis Ford Coppola,"Detroit, Michigan, USA",42.33168,-83.048,"[-83.048, 42.33168]"
João Pedro Rodrigues,"Lisbon, Portugal",38.72639,-9.14948,"[-9.14948, 38.72639]"
Nina Paley,"Champaign, Illinois, USA",40.1142,-88.2435,"[-88.2435, 40.1142]"
Gurinder Chadha,"Nairobi, Kenya",-1.28352,36.82379,"[36.82379, -1.28352]"
Hany Abu-Assad,"Nazareth, Israel",32.7001,35.29315,"[35.29315, 32.7001]"
Sam Mendes,"Reading, Berkshire, England, UK",51.45352,-0.96301,"[-0.96301, 51.45352]"
Peter Weir,"Sydney, New South Wales, Australia",-33.8696,151.20691,"[151.20691, -33.8696]"
"Pete Docter, David Silverman and Lee Unkrich",,6.48812,2.6138,"[2.6138, 6.48812]"
"Pete Docter, David Silverman and Lee Unkrich",,6.48812,2.6138,"[2.6138, 6.48812]"
Clio Barnard,"Otley, Leeds, West Yorkshire, England, UK",53.7948,-1.54655,"[-1.54655, 53.7948]"
Christian Marclay,,6.48812,2.6138,"[2.6138, 6.48812]"
Patty Jenkins,"George Air Force Base, Victorville, California, USA",34.57454,-117.36064,"[-117.36064, 34.57454]"
Roberto Benigni,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy",43.3351,11.88008,"[11.88008, 43.3351]"
Eran Riklis,"Beersheba, Israel",31.23616,34.79079,"[34.79079, 31.23616]"
Annemarie Jacir,"Bethlehem, Palestine",13.96829,121.52445,"[121.52445, 13.96829]"
Ramin Bahrani,"North Carolina, USA",35.78547,-78.6427,"[-78.6427, 35.78547]"
Yann Arthus-Bertrand,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Andrew Adamson and Vicky Jenson,,6.48812,2.6138,"[2.6138, 6.48812]"
Andrew Adamson and Vicky Jenson,,6.48812,2.6138,"[2.6138, 6.48812]"
Andrew Adamson and Vicky Jenson,,6.48812,2.6138,"[2.6138, 6.48812]"
Ossama Mohammed,"Lattakia, Syria",NaN,NaN,"['NaN', 'NaN']"
Mani Haghighi,"Tehran, Iran",35.68877,51.41503,"[51.41503, 35.68877]"
Lucien Castaing-Taylor and Verena Paravel,,6.48812,2.6138,"[2.6138, 6.48812]"
Lucien Castaing-Taylor and Verena Paravel,,6.48812,2.6138,"[2.6138, 6.48812]"
Lucien Castaing-Taylor and Verena Paravel,,6.48812,2.6138,"[2.6138, 6.48812]"
Ronit Elkabetz and Shlomi Elkabetz,,6.48812,2.6138,"[2.6138, 6.48812]"
Ronit Elkabetz and Shlomi Elkabetz,,6.48812,2.6138,"[2.6138, 6.48812]"
Gareth Edwards,"Nuneaton, Warwickshire, England, UK",52.52147,-1.46407,"[-1.46407, 52.52147]"
Céline Sciamma,"Pontoise, Val-d'Oise, France",49.05061,2.1006,"[2.1006, 49.05061]"
Trey Parker,"Conifer, Colorado, USA",39.40163,-105.19796,"[-105.19796, 39.40163]"
Jane Campion,"Wellington, New Zealand",-41.28952,174.7769,"[174.7769, -41.28952]"
Ben Wheatley,"Billericay, Essex, England, UK",51.62485,0.41695,"[0.41695, 51.62485]"
Shane Black,"Pittsburgh, Pennsylvania, USA",40.43851,-79.99734,"[-79.99734, 40.43851]"
Michael Moore,"Flint, Michigan, USA",43.01144,-83.68679,"[-83.68679, 43.01144]"
Warwick Thornton,"Alice Springs, Northern Territory, Australia",-23.70267,133.88131,"[133.88131, -23.70267]"
Aki Kaurismäki,"Orimattila, Finland",60.8019,25.73482,"[25.73482, 60.8019]"
Jean-Claude Brisseau,"Paris, France",48.85717,2.3414,"[2.3414, 48.85717]"
Patrick Wang,,6.48812,2.6138,"[2.6138, 6.48812]"
Pirjo Honkasalo,"Helsinki, Finland",60.17116,24.93265,"[24.93265, 60.17116]"
Kleber Mendonça Filho,"Recife, Pernambuco, Brazil",-8.05603,-34.87035,"[-34.87035, -8.05603]"
Eran Kolirin,"Holon, Israel",32.01121,34.78247,"[34.78247, 32.01121]"
Laurent Cantet,"Melle, Deux-Sevres, France",46.22172,-0.14335,"[-0.14335, 46.22172]"
Agnieszka Holland,"Warsaw, Mazowieckie, Poland",52.2356,21.01037,"[21.01037, 52.2356]"
Kim Jee-woon,"Seoul, South Korea",37.55886,126.99989,"[126.99989, 37.55886]"
Anthony and Joe Russo,,6.48812,2.6138,"[2.6138, 6.48812]"
Richard Curtis,"Wellington, New Zealand",-41.28952,174.7769,"[174.7769, -41.28952]"
Rob Marshall,"Madison, Wisconsin, USA",43.07313,-89.38644,"[-89.38644, 43.07313]"
Christopher Morris,"Bristol, England, UK",51.45379,-2.59168,"[-2.59168, 51.45379]"
Shane Meadows,"Uttoxeter, Staffordshire, England, UK",52.89693,-1.8698,"[-1.8698, 52.89693]"
John Carney,"Dublin, Ireland",53.34807,-6.24827,"[-6.24827, 53.34807]"
Stephen Daldry,"Dorset, England, UK",50.80258,-2.36075,"[-2.36075, 50.80258]"
Jiang Wen,"Tangshan, China",-24.37842,151.67703,"[151.67703, -24.37842]"
