movie_name,movie_director,movie_year,movie_rank,critic_name,critic_org,critic_cn,birth_place,geometry.coordinates,douban_rate,douban_ppl,imdb_name,imdb_rate,storyline,imdb_ppl1,rate_dif,ppl_dif
The Five Obstructions,Jørgen Leth and Lars von Trier,2003,9,Peter Debruge,Variety,US,,"[2.6138, 6.48812]",7.9,644.0, The Five Obstructions (2003) ,7.5,"""The Five Obstructions"", a 100 min. Dano-Belgian theatre documentary directed by Lars von Trier and Jørgen Leth. An investigative journey into the phenomenon of ""documentary"", based on manifestos written by each director. About a filmmaker not only revisiting, but also recreating (not in a conventional sense) one of his first films, The Perfect Human / Det perfekte menneske (1967), a document on life in Denmark, containing the familiar Leth idiosyncrasies. —jordan.savel@filmbyen.com",8500.0,0.40000000000000036,-7856.0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,10,Peter Debruge,Variety,US,"Brooklyn, New York City, New York, USA","[-73.99162, 40.70181]",7.4,50784.0, Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006) ,7.3,"Borat Sagdiyev is a TV reporter of a popular show in Kazakhstan as Kazakhstan's sixth most famous man and a leading journalist. He is sent from his home to America by his government to make a documentary about American society and culture. Borat takes a course in New York City to understand American humor. While watching Baywatch on TV, Borat discovers how beautiful their women are in the form of C. J. Parker, who was played by actress Pamela Anderson who hails from Malibu, California. He decides to go on a cross-country road trip to California in a quest to make her his wife and take her back to his country. On his journey Borat and his producer encounter a country full of strange and wonderful Americans, real people in real chaotic situations with hysterical consequences. —Anthony Pereyra {hypersonic91@yahoo.com}",394000.0,0.10000000000000053,-343216.0
In the Mood for Love,Wong Kar-wai,2000,1,Fernand Denis,La Libre Belgique,Belgium,"Shanghai, China","[121.4747, 31.25516]",8.7,507976.0, In the Mood for Love (2000) ,8.1,"Set in Hong Kong, 1962, Chow Mo-Wan is a newspaper editor who moves into a new building with his wife. At the same time, Su Li-zhen, a beautiful secretary and her executive husband also move in to the crowded building. With their spouses often away, Chow and Li-zhen spend most of their time together as friends. They have everything in common from noodle shops to martial arts. Soon, they are shocked to discover that their spouses are having an affair. Hurt and angry, they find comfort in their growing friendship even as they resolve not to be like their unfaithful mates. —Anonymous",140000.0,0.5999999999999996,367976.0
Ida,Paweł Pawlikowski,2013,2,Fernand Denis,La Libre Belgique,Belgium,"Warsaw, Mazowieckie, Poland","[21.01037, 52.2356]",,," The East (2013) aka ""Ida"" ",6.8,A successful operative for an elite private intelligence firm is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations. —Anonymous,50000.0,,
Boyhood,Richard Linklater,2014,3,Fernand Denis,La Libre Belgique,Belgium,"Houston, Texas, USA","[-95.36952, 29.76078]",8.5,203524.0, Boyhood (I) (2014) ,7.9,"Filmed over 12 years with the same cast, Richard Linklater's BOYHOOD is a groundbreaking story of growing up as seen through the eyes of a child named Mason (a breakthrough performance by Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, BOYHOOD charts the rocky terrain of childhood like no other film has before. Snapshots of adolescence from road trips and family dinners to birthdays and graduations and all the moments in between become transcendent, set to a soundtrack spanning the years from Coldplay's Yellow to Arcade Fire's Deep Blue. BOYHOOD is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. —IFC Films",346000.0,0.5999999999999996,-142476.0
Son of Saul,László Nemes,2015,4,Fernand Denis,La Libre Belgique,Belgium,"Budapest, Hungary","[19.05508, 47.49972]",7.4,17200.0, Son of Saul (2015) ,7.5,"Two days in the life of Saul Auslander, Hungarian prisoner working as a member of the Sonderkommando at one of the Auschwitz Crematoriums who, to bury the corpse of a boy he takes for his son, tries to carry out his impossible deed: salvage the body and find a rabbi to bury it. While the Sonderkommando is to be liquidated at any moment, Saul turns away of the living and their plans of rebellion to save the remains of a son he never took care of when he was still alive. —LaoKoon",48000.0,-0.09999999999999964,-30800.0
Nobody Knows,Hirokazu Koreeda,2004,5,Fernand Denis,La Libre Belgique,Belgium,"Tokyo, Japan","[139.80885, 35.68408]",,, Nobody Knows (2004) ,8.1,"In Tokyo, the reckless single mother Keiko moves to a small apartment with her twelve years old son Akira Fukushima and his siblings Shigeru and Yuki. Kyoko, another sibling arrives later by train. The children have different fathers and do not have schooling, but they have a happy life with their mother. When Keiko finds a new boyfriend, she leaves the children alone, giving some money to Akira and assigning him to take care of his siblings. When the money runs out, Akira manages to find means to survive with the youngsters without power supply, gas or water at home, and with the landlord asking for the rent. —Claudio Carvalho",27000.0,,
Talk to Her,Pedro Almodóvar,2002,6,Fernand Denis,La Libre Belgique,Belgium,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","[-3.77765, 38.7048]",,, Talk to Her (2002) ,7.9,"After a chance encounter at a theater, two men, Benigno and Marco, meet at a private clinic where Benigno works. Lydia, Marco's girlfriend and a bullfighter by profession, has been gored and is in a coma. It so happens that Benigno is looking after another woman in a coma, Alicia, a young ballet student. The lives of the four characters will flow in all directions, past, present and future, dragging all of them towards an unsuspected destiny. —Anonymous",110000.0,,
Amores Perros,Alejandro González Iñárritu,2000,7,Fernand Denis,La Libre Belgique,Belgium,"Mexico City, Distrito Federal, Mexico","[-99.24024, 19.36348]",8.2,46382.0, Amores perros (2000) ,8.1,"On the brink of the new Millennium in the bustling City of Mexico, one horrible car accident intertwines inextricably the lives of three perfect strangers. Octavio, a rebellious adolescent who is secretly in love with his sister-in-law, dreams of escaping his miserable life, and for this reason, he enters reluctantly the obscure world of dog fighting with his lethal dog Cofi. And then unexpectedly, Valeria, a stunning woman and famous supermodel, will cross paths with Octavio, while in the meantime, her pampered little dog Richie manages to vanish into thin air in the confined space of her apartment. Lastly, Chivo, an ex-guerrilla vagabond, after abandoning his little daughter, unable to make up for lost time, he channels his love to the city's strays and a mortally wounded Rottweiler. In the end, even though all the weary characters, men and beasts, wish for a bright future, in this life-changing journey in the pursuit of love, sometimes infidelity, sin and death can get in the way. —Nick Riganas",234000.0,0.09999999999999964,-187618.0
Wild Tales,Damián Szifrón,2014,8,Fernand Denis,La Libre Belgique,Belgium,"Ramos Mejía, Buenos Aires, Argentina","[-58.43257, -34.60556]",8.8,379583.0, Wild Tales (2014) ,8.1,"The film is divided into six segments. (1) ""Pasternak"": While being on a plane, a model and a music critic realise they have a common acquaintance called Pasternak. Soon they discover that every passenger and crew member on board know Pasternak. Is this coincidence? (2) ""The Rats"": A waitress recognizes her client - it's the loan shark who caused a tragedy in her family. The cook suggests mixing rat poison with his food, but the waitress refuses. The stubborn cook, however, decides to proceed with her plan. (3) ""The Strongest"": Two drivers on a lone highway have an argument with tragic consequences. (4) ""Little Bomb"": A demolition engineer has his car towed by a truck for parking in a wrong place and he has an argument with the employee of the towing company. This event destroys his private and professional life, and he plots revenge against the corrupt towing company and the city hall. (5) ""The Proposal"": A reckless son of a wealthy family has an overnight hit-and-run accident, in which a pregnant woman gets killed. He wakes his parents up and his father calls the lawyer. The parents propose to pay the groundkeeper to take the blame for the boy. Soon the father discovers that he is a victim of extortion of his lawyer and the public prosecutor in charge of the investigation. What will be his decision? (6) ""Until Death Do Us Apart"": During the wedding party, the bride discovers that her newlywed husband has been cheating on her with one of the guests, and she decides to pay him back. —Claudio Carvalho, Rio de Janeiro, Brazil",189000.0,0.7000000000000011,190583.0
Eldorado,Bouli Lanners,2008,9,Fernand Denis,La Libre Belgique,Belgium,"Moresnet-Chapelle, Belgium","[5.99582, 50.73077]",7.6,872.0," El Dorado (1966) aka ""Eldorado"" ",7.6,"Hired gunman Cole Thornton turns down a job with Bart Jason as it would mean having to fight an old sheriff friend. Some months later he finds out the lawman is on the bottle and a top gunfighter is heading his way to help Jason. Along with young Mississippi, handy with a knife and now armed with a diabolical shotgun, Cole returns to help. —Jeremy Perkins {J-26}",26000.0,0.0,-25128.0
Mommy,Xavier Dolan,2014,10,Fernand Denis,La Libre Belgique,Belgium,"Montreal, Quebec, Canada","[-73.55469, 45.5124]",8.2,24858.0, Mommy (I) (2014) ,8.1,"Forty-six year old Diane Després - ""Die"" - has been widowed for three years. Considered white trash by many, Die does whatever she needs, including strutting her body in front of male employers who will look, to make an honest living. That bread-winning ability is affected when she makes the decision to remove her only offspring, fifteen year old Steve Després, from her previously imposed institutionalization, one step below juvenile detention. She institutionalized him shortly following her husband's death due to Steve's attention deficit hyperactivity disorder (ADHD) and his violent outbursts. He was just kicked out of the latest in a long line of facilities for setting fire to the cafeteria, in turn injuring another boy. She made this decision to deinstitutionalize him as she didn't like the alternative, sending him into more restrictive juvenile detention from which he would probably never be rehabilitated. However, with this deinstitutionalization, she has to take care of him which means only being able to do home based work. Despite they always yelling expletives at each other and Steve sometimes demonstrating those violent tendencies toward her, Die and Steve truly do love each other, his emotions which are sometimes manifested as an Oedipus complex especially as he seems to need her complete attention most specifically when it is being directed at possible male suitors. Their lives, both individually and as a family, are affected with the entrance of two of their neighbors. The first is Paul, a lawyer, who does have that sexual interest in Die as he tries to help Steve through his legal problems. The second and more important is Kyla, who lives across the street with her husband Patrick and their adolescent daughter, they who are in transit in their life to wherever Patrick's job will take them. Kyla is a high school teacher on sabbatical as she deals with her own emotional issues, which are manifested in stuttering whenever she feels incapable of dealing with her life. Kyla may find that she needs the Després as much as they need her. —Huggo",55000.0,0.09999999999999964,-30142.0
The Stuart Hall Project,John Akomfrah,2013,1,Lindiwe Dovey,University of London,UK,"London, England, UK","[-0.12719, 51.50643]",8.6,106.0,,,,,,
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,2,Lindiwe Dovey,University of London,UK,"Bangkok, Thailand","[100.50483, 13.75336]",7.3,12409.0, Uncle Boonmee Who Can Recall His Past Lives (2010) ,6.7,"Suffering from acute kidney failure, Uncle Boonmee, who lives in a house on a farm with his sister-in-law Jen and his nephew Tong has chosen to spend his final days surrounded by his loved ones in the countryside. Surprisingly Huay, the ghost of his deceased wife appears to care for him, and his long lost son returns home in a non-human form. Contemplating the reasons for his illness, he treks through the jungle with his family to a mysterious hilltop cave - the birthplace of his first life.",15000.0,0.5999999999999996,-2591.0
A Letter to Nelson Mandela,Khalo Matabane,2013,3,Lindiwe Dovey,University of London,UK,,"[2.6138, 6.48812]",8.5,967.0,,,,,,
Waiting for Happiness,Abderrahmane Sissako,2002,4,Lindiwe Dovey,University of London,UK,"Kiffa, Mauritania","[-11.39289, 16.75704]",7.1,183.0, Waiting for Happiness (2002) ,6.7,"On the seacoast of Mauritania, some wait to go to Europe. Khatra, a spirited boy, wants an electric light so he can read at night. A stoic older man, Maata, tries to wire the room. Abdallah, a youth on his way to Europe, says good-bye to his mother. Nana looks back on the death of her daughter and her trip to Europe to inform the father. A girl takes singing lessons. Rooms have small windows, looking out onto foot traffic; transistor radios provide some link beyond. Huge ships anchor in the distance. The train comes through, stopping briefly. Offering a cigarette is a gesture of hospitality. Sand dunes and the ocean dominate the landscape. Hope springs amidst small expectations. —<jhailey@hotmail.com>",1000.0,0.39999999999999947,-817.0
Something Necessary,Judy Kibinge,2013,5,Lindiwe Dovey,University of London,UK,,,,, Something Necessary (2013) ,6.9,"SOMETHING NECESSARY is a film about a pivotal period in the life of Anne, a woman struggling to rebuild her life after the civil unrest that swept Kenya following the 2007 elections, claiming the life of her husband, the health of her son and leaving her isolated farm in ruins. Joseph, a troubled young gang member who participated in the countrywide violence is drawn to Anne and her farm seemingly in search of redemption. Both he and Anne need something that only the other can give to allow them to shed the painful memories of their past and move on, but will either of them find it? —Anonymous",68.0,,
Moolaadé,Ousmane Sembène,2004,6,Lindiwe Dovey,University of London,UK,"Ziguenchor, Casamance, Senegal","[-16.2637, 12.58122]",7.5,420.0, Moolaadé (2004) ,7.6,"In an African village this is the day when six 4-9-year-old girls are to be 'cut' (the act of female genital mutilation) All children know that the operation is horrible torture and sometimes lethal, and all adults know that some cut women can only give birth by Caesarean section. Two of the girls have drowned themselves in the well to escape the operation. The four other girls seek ""magical protection"" (moolaadé) by a woman (Colle) who seven years before refused to have her daughter circumcised. Moolaadé is indicated by a coloured rope. But no one would dare step over and fetch the children. Moolaadé can only be revoked by Colle herself. Her husband's relatives persuade him to whip her in public into revoking. Opposite groups of women shout to her to revoke or to be steadfast, but no woman interferes. When Colle is at the wedge of fainting, the merchant takes action and stops the maltreatment. Therefore he is hunted out of the village and, when out of sight, murdered. —Max Scharnberg, Stockholm, Sweden",3800.0,-0.09999999999999964,-3380.0
Sembène!,Samba Gadjigo and Jason Silverman,2015,7,Lindiwe Dovey,University of London,UK,,,,, Sembene! (2015) ,7.1,"Meet Ousmane Sembene, the African freedom fighter who used stories as his weapon.",146.0,,
5 Broken Cameras,Emad Burnat and Guy Davidi,2011,8,Lindiwe Dovey,University of London,UK,,"[2.6138, 6.48812]",8.5,678.0, 5 Broken Cameras (2011) ,7.9,"When his fourth son, Gibreel, is born, Emad, a Palestinian villager, gets his first camera. In his village, Bil'in, a separation barrier is being built and the villagers start to resist this decision. For more than five years, Emad films the struggle, which is led by two of his best friends, alongside filming how Gibreel grows. Very soon it affects his family and his own life. Daily arrests and night raids scare his family; his friends, brothers and himself are either shot or arrested. One camera after another is shot at or smashed. Each of the 5 cameras tells part of his story. —Guy Davidi",5900.0,0.5999999999999996,-5222.0
Hooligan Sparrow,Nanfu Wang,2016,9,Lindiwe Dovey,University of London,UK,,,,, Hooligan Sparrow (2016) ,7.3,"State surveillance. Harassment. Imprisonment. Human rights activist Ye Haiyan, AKA Sparrow, knew she faced these risks when she went to Hainan Province to seek justice for six elementary school girls who were sexually abused by their principal. But the scale and intensity of the government's reaction surprised even the most seasoned activists across China. 'The Road from Hainan' follows Sparrow as she was chased from town to town by local governments, national secret police, and even her own neighbors. —Anonymous",467.0,,
7 Letters,"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong",2015,10,Lindiwe Dovey,University of London,UK,,"[2.6138, 6.48812]",7.5,7437.0, 7 Letters (2015) ,6.6,"An emotive anthology by seven of Singapore's most illustrious filmmakers, celebrating SG50 through the lives and stories of Singaporeans. Directed by Eric Khoo, Jack Neo, K. Rajagopal, Royston Tan, Tan Pin Pin, Boo Junfeng, Kelvin Tong.",156.0,0.9000000000000004,7281.0
"Synecdoche, New York",Charlie Kaufman,2008,1,Alonso Duralde,TheWrap,US,"New York City, New York, USA","[-74.00714, 40.71455]",8.3,16276.0," Synecdoche, New York (2008) ",7.6,"Theater director Caden Cotard is mounting a new play. Fresh off of a successful production of Death of a Salesman, he has traded in the suburban blue-hairs and regional theater of Schenectady for the cultured audiences and bright footlights of Broadway. Armed with a MacArthur grant and determined to create a piece of brutal realism and honesty, something into which he can put his whole self, he gathers an ensemble cast into a warehouse in Manhattan's theater district. He directs them in a celebration of the mundane, instructing each to live out their constructed lives in a small mock-up of the city outside. As the city inside the warehouse grows, Caden's own life veers wildly off the tracks. The shadow of his ex-wife Adele, a celebrated painter who left him years ago for Germany's art scene, sneers at him from every corner. Somewhere in Berlin, his daughter Olive is growing up under the questionable guidance of Adele's friend, Maria. He's helplessly driving his marriage to actress Claire into the ground. Sammy Barnathan, the actor Caden has hired to play himself within the play, is a bit too perfect for the part, and is making it difficult for Caden to revive his relationship with the alluringly candid Hazel. Meanwhile, his therapist, Madeline Gravis, is better at plugging her best-seller than she is at counselling him. His second daughter, Ariel, is disabled. And a mysterious condition is systematically shutting down each of his autonomic functions, one by one. As the years rapidly pass, Caden buries himself deeper into his masterpiece. Populating the cast and crew with doppelgangers, he steadily blurs the line between the world of the play and that of his own deteriorating reality. As he pushes the limits of his relationships, both personally and professionally, a change in creative direction arrives in Millicent Weems, a celebrated theater actress who may offer Caden the break he needs. —Anonymous",88000.0,0.7000000000000011,-71724.0
Brokeback Mountain,Ang Lee,2005,2,Alonso Duralde,TheWrap,US,"Pingtung, Taiwan","[120.49142, 22.66209]",8.8,627308.0, Brokeback Mountain (2005) ,7.7,"Their acquaintance began on the warm summer of 1963, when cowboys, Ennis Del Mar and Jack Twist, ended up on the sheep farm of Joe Aguirre in Brokeback Mountain, Wyoming while looking for work. Under unexpected circumstances, little by little, the two men developed an intimate relationship that turned into a profound but secret bond, right under the nose of their families. However, love, and its many faces, is eternal. Who can stop love, life's ultimate truth? —Nick Riganas",342000.0,1.1000000000000005,285308.0
Weekend,Andrew Haigh,2011,3,Alonso Duralde,TheWrap,US,"Harrogate, North Yorkshire, England, UK","[-1.54445, 53.99466]",7.0,2313.0, Weekend (II) (2011) ,7.6,"On a Friday night after a drunken house party with his straight mates, Russell heads out to a gay club, alone and on the pull. Just before closing time he picks up Glen but what's expected to be just a one-night stand becomes something else, something special. That weekend, in bars and in bedrooms, getting drunk and taking drugs, telling stories and having sex, the two men get to know each other. It is a brief encounter that will resonate throughout their lives. Weekend is both an honest and unapologetic love story between two guys and a film about the universal struggle for an authentic life in all its forms. It is about the search for identity and the importance of making a passionate commitment to your life. —Andrew Haigh",30000.0,-0.5999999999999996,-27687.0
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Alonso Duralde,TheWrap,US,"Iasi, Romania","[27.58732, 47.1594]",8.3,32944.0," 4 Months, 3 Weeks and 2 Days (2007) ",7.9,"Romania, 1987, the brutal Ceausescu communist regime is in place; birth control is illegal and abortion is a crime punishable by death. Gabita (Laura Vasliu) is almost five months into an unwanted pregnancy and in meek desperation turns to her friend and roommate, Otilia (Anamaria Marinca) for help in organizing an illegal termination. Unfortunate circumstances force the two women to use an unwanted male abortionist, Bebe (Vlad Ivanov). The bleakness of the storyline expresses a dark socio-political critique in the twilight years of a repressive dictatorship. —kwedgwood@hotmail.com",59000.0,0.40000000000000036,-26056.0
Spirited Away,Hayao Miyazaki,2001,5,Alonso Duralde,TheWrap,US,"Tokyo, Japan","[139.80885, 35.68408]",9.4,1963336.0, Spirited Away (2001) ,8.6,"Chihiro and her parents are moving to a small Japanese town in the countryside, much to Chihiro's dismay. On the way to their new home, Chihiro's father makes a wrong turn and drives down a lonely one-lane road which dead-ends in front of a tunnel. Her parents decide to stop the car and explore the area. They go through the tunnel and find an abandoned amusement park on the other side, with its own little town. When her parents see a restaurant with great-smelling food but no staff, they decide to eat and pay later. However, Chihiro refuses to eat and decides to explore the theme park a bit more. She meets a boy named Haku who tells her that Chihiro and her parents are in danger, and they must leave immediately. She runs to the restaurant and finds that her parents have turned into pigs. In addition, the theme park turns out to be a town inhabited by demons, spirits, and evil gods. At the center of the town is a bathhouse where these creatures go to relax. The owner of the bathhouse is the evil witch Yubaba, who is intent on keeping all trespassers as captive workers, including Chihiro. Chihiro must rely on Haku to save her parents in hopes of returning to their world. —Zachary Harper",706000.0,0.8000000000000007,1257336.0
How to Survive a Plague,David France,2012,6,Alonso Duralde,TheWrap,US,,,8.0,1687.0, How to Survive a Plague (2012) ,7.6,"In the early years of the AIDS epidemic, the disease was considered a death sentence affecting communities, like the LGBT ones, whom many in power felt deserved it. This film tells the story of how militant activists like ACT-UP and TAG pushed for a meaningful response to this serious public health problem. As the activists struggled against political indifference, religious hostility, corporate greed and apparently skewed scientific research priorities with determination and sheer audacity, they produced a political wave that would lead to not only an effective treatment regime, but would advance LGBT rights beyond anyone's expectations. —Kenneth Chisholm (kchishol@rogers.com)",4000.0,0.40000000000000036,-2313.0
Talk to Her,Pedro Almodóvar,2002,7,Alonso Duralde,TheWrap,US,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","[-3.77765, 38.7048]",,, Talk to Her (2002) ,7.9,"After a chance encounter at a theater, two men, Benigno and Marco, meet at a private clinic where Benigno works. Lydia, Marco's girlfriend and a bullfighter by profession, has been gored and is in a coma. It so happens that Benigno is looking after another woman in a coma, Alicia, a young ballet student. The lives of the four characters will flow in all directions, past, present and future, dragging all of them towards an unsuspected destiny. —Anonymous",110000.0,,
American Splendor,Robert Pulcini and Shari Springer Berman,2003,8,Alonso Duralde,TheWrap,US,,"[2.6138, 6.48812]",7.6,1012.0, American Splendor (2003) ,7.4,"Harvey Pekar is file clerk at the local VA hospital. His interactions with his co-workers offer some relief from the monotony, and their discussions encompass everything from music to the decline of American culture to new flavors of jellybeans and life itself. At home, Harvey fills his days with reading, writing and listening to jazz. His apartment is filled with thousands of books and LPs, and he regularly scours Cleveland's thrift stores and garage sales for more, savoring the rare joy of a 25-cent find. It is at one of these junk sales that Harvey meets Robert Crumb, a greeting card artist and music enthusiast. When, years later, Crumb finds international success for his underground comics, the idea that comic books can be a valid art form for adults inspires Harvey to write his own brand of comic book. An admirer of naturalist writers like Theodore Dreiser, Harvey makes his American Splendor a truthful, unsentimental record of his working-class life, a warts-and-all self portrait. First published in 1976, the comic earns Harvey cult fame throughout the 1980s and eventually leads him to the sardonic Joyce Barber, a partner in a Delaware comic book store who end ups being Harvey's true soul mate as they experience the bizarre byproducts of Harvey's cult celebrity stature. —Sujit R. Varma",49000.0,0.1999999999999993,-47988.0
In the Mood for Love,Wong Kar-wai,2000,9,Alonso Duralde,TheWrap,US,"Shanghai, China","[121.4747, 31.25516]",8.7,507976.0, In the Mood for Love (2000) ,8.1,"Set in Hong Kong, 1962, Chow Mo-Wan is a newspaper editor who moves into a new building with his wife. At the same time, Su Li-zhen, a beautiful secretary and her executive husband also move in to the crowded building. With their spouses often away, Chow and Li-zhen spend most of their time together as friends. They have everything in common from noodle shops to martial arts. Soon, they are shocked to discover that their spouses are having an affair. Hurt and angry, they find comfort in their growing friendship even as they resolve not to be like their unfaithful mates. —Anonymous",140000.0,0.5999999999999996,367976.0
Far From Heaven,Todd Haynes,2002,10,Alonso Duralde,TheWrap,US,"Los Angeles, California, USA","[-118.24545, 34.05357]",7.6,7939.0, Far from Heaven (2002) ,7.4,"Cathy is the perfect 50s housewife, living the perfect 50s life: healthy kids, successful husband, social prominence. Then one night she stumbles in on her husband Frank, kissing another man, and her tidy world starts spinning out of control. In her confusion and grief, she finds consolation in the friendship of their African-American gardener, Raymond - a socially taboo relationship that leads to the further disintegration of life as she knew it. Despite Cathy and Frank's struggle to keep their marriage afloat, the reality of his homosexuality and her feelings for Raymond open a painful, if more honest, chapter in their lives. —Jonas A. Reinartz <jonas.reinartz@web.de>",46000.0,0.1999999999999993,-38061.0
The Tree of Life,Terrence Malick,2011,1,Bilge Ebiri,The Village Voice,US,"Ottawa, Illinois, USA","[-88.84266, 41.34656]",7.1,41274.0, The Tree of Life (2011) ,6.8,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father (Brad Pitt). Jack (played as an adult by Sean Penn) finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith. —alfiehitchie",173000.0,0.2999999999999998,-131726.0
Mad Max: Fury Road,George Miller,2015,2,Bilge Ebiri,The Village Voice,US,"Chinchilla, Queensland, Australia","[150.63017, -26.73971]",8.6,455763.0, Mad Max: Fury Road (2015) ,8.1,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and almost everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland. —Production",941000.0,0.5,-485237.0
25th Hour,Spike Lee,2002,3,Bilge Ebiri,The Village Voice,US,"Atlanta, Georgia, USA","[-84.39111, 33.74831]",7.9,21828.0, 25th Hour (2002) ,7.6,"The 25th Hour depicts the last day of freedom for a young man before he begins serving a seven-year jail term for drug dealing. Prowling through the city until dawn with his two close male friends and his girlfriend, he is forced to re-examine his life and how he got himself into his predicament, which leads to a shocking, disturbing finale. —Justin Harris <jharris316@yahoo.com>",176000.0,0.3000000000000007,-154172.0
An Injury to One,Travis Wilkerson,2002,4,Bilge Ebiri,The Village Voice,US,"Denver, Colorado, USA","[-104.99202, 39.74001]",,, An Injury to One (2002) ,7.8,"An experimental documentary exploring the turn-of-century lynching of union organizer Frank Little in Butte, Montana.",196.0,,
Love & Basketball,Gina Prince-Bythewood,2000,5,Bilge Ebiri,The Village Voice,US,USA,"[-77.03196, 38.89037]",6.8,23796.0, Love (II) (2015) ,6.1,"Murphy is an American cinema school student, living in Paris. He had a French girlfriend, called Electra, whom he dated for two years. One day, they met and had a no-strings-attached threesome with another woman, a young blonde Danish teenager named Omi, as a way to add some excitement to their love life. But later, he had sex with her behind Electra's back, as a result of which Omi became pregnant. This unplanned pregnancy ended the relationship between Murphy and Electra on a horrible note, and it forced Murphy to marry Omi. In one morning, Electra's mother, Nora, phones him to ask if he's heard from Electra, because she hasn't heard from her for three months, and given her daughter's suicidal tendencies. For the rest of this day, he recalls his past two years with Electra in a series of fragmented, nonlinear flashbacks; how they first met in Paris, their quick hookup, and their lives over the next two years which is filled with drug abuse, rough sex and tender moments.",54000.0,0.7000000000000002,-30204.0
In the Mood for Love,Wong Kar-wai,2000,6,Bilge Ebiri,The Village Voice,US,"Shanghai, China","[121.4747, 31.25516]",8.7,507976.0, In the Mood for Love (2000) ,8.1,"Set in Hong Kong, 1962, Chow Mo-Wan is a newspaper editor who moves into a new building with his wife. At the same time, Su Li-zhen, a beautiful secretary and her executive husband also move in to the crowded building. With their spouses often away, Chow and Li-zhen spend most of their time together as friends. They have everything in common from noodle shops to martial arts. Soon, they are shocked to discover that their spouses are having an affair. Hurt and angry, they find comfort in their growing friendship even as they resolve not to be like their unfaithful mates. —Anonymous",140000.0,0.5999999999999996,367976.0
Timbuktu,Abderrahmane Sissako,2014,7,Bilge Ebiri,The Village Voice,US,"Kiffa, Mauritania","[-11.39289, 16.75704]",7.1,3928.0, Timbuktu (2014) ,7.2,"Not far from the ancient Malian city of Timbuktu, proud cattle herder Kidane (Ibrahim Ahmed aka Pino) lives peacefully in the dunes with his wife Satima (Toulou Kiki), his daughter Toya (Layla Walet Mohamed), and Issan (Mehdi Ag Mohamed), their twelve-year-old shepherd. In town, the people suffer, powerless, from the regime of terror imposed by the Jihadists determined to control their faith. Music, laughter, cigarettes, even soccer have been banned. The women have become shadows but resist with dignity. Every day, the new improvised courts issue tragic and absurd sentences. Kidane and his family are being spared the chaos that prevails in Timbuktu. But their destiny changes abruptly. —Anonymous",17000.0,-0.10000000000000053,-13072.0
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,8,Bilge Ebiri,The Village Voice,US,"Istanbul, Turkey","[28.98877, 41.06201]",7.8,9381.0, Once Upon a Time in Anatolia (2011) ,7.9,"In the rural area around the Anatolian town of Keskin, the local prosecutor, police commissar, and doctor lead a search for a victim of a murder to whom a suspect named Kenan and his mentally challenged brother confessed. However, the search is proving more difficult than expected as Kenan is fuzzy as to the body's exact location. As the group continues looking, its members can't help but chat among themselves about both trivia and their deepest concerns in an investigation that is proving more trying than any of them expected. —Kenneth Chisholm (kchishol@rogers.com)",45000.0,-0.10000000000000053,-35619.0
It's Such a Beautiful Day,Don Hertzfeldt,2012,9,Bilge Ebiri,The Village Voice,US,"Fremont, California, USA","[-121.9833, 37.55148]",8.4,1702.0, It's Such a Beautiful Day (2012) ,8.3,"Bill struggles to put together his shattered psyche, in this new feature film version of Don Hertzfeldt's animated short film trilogy.",13000.0,0.09999999999999964,-11298.0
