name,imdb_name,imdb_rate,imdb_ppl,storyline
Talk to Her, Talk to Her (2002) ,7.9,110K,"After a chance encounter at a theater, two men, Benigno and Marco, meet at a private clinic where Benigno works. Lydia, Marco's girlfriend and a bullfighter by profession, has been gored and is in a coma. It so happens that Benigno is looking after another woman in a coma, Alicia, a young ballet student. The lives of the four characters will flow in all directions, past, present and future, dragging all of them towards an unsuspected destiny. —Anonymous"
Timbuktu, Timbuktu (2014) ,7.2,17K,"Not far from the ancient Malian city of Timbuktu, proud cattle herder Kidane (Ibrahim Ahmed aka Pino) lives peacefully in the dunes with his wife Satima (Toulou Kiki), his daughter Toya (Layla Walet Mohamed), and Issan (Mehdi Ag Mohamed), their twelve-year-old shepherd. In town, the people suffer, powerless, from the regime of terror imposed by the Jihadists determined to control their faith. Music, laughter, cigarettes, even soccer have been banned. The women have become shadows but resist with dignity. Every day, the new improvised courts issue tragic and absurd sentences. Kidane and his family are being spared the chaos that prevails in Timbuktu. But their destiny changes abruptly. —Anonymous"
Selma, Selma (2014) ,7.5,90K,"The unforgettable true story chronicles the tumultuous three-month period in 1965, when Dr. Martin Luther King, Jr. led a dangerous campaign to secure equal voting rights in the face of violent opposition. The epic march from Selma to Montgomery culminated in President Johnson signing the Voting Rights Act of 1965, one of the most significant victories for the civil rights movement. Director Ava DuVernay's ""Selma"" tells the story of how the revered leader and visionary Dr. Martin Luther King, Jr and his brothers and sisters in the movement prompted change that forever altered history. —Miss W J Mcdermott"
The White Ribbon, The White Ribbon (2009) ,7.8,72K,"From July, 1913 to the outbreak of World War I, a series of incidents take place in a German village. A horse trips on a wire and throws the rider; a woman falls to her death through rotted planks; the local baron's son is hung upside down in a mill; parents slap and bully their children; a man is cruel to his long-suffering lover; another sexually abuses his daughter. People disappear. A callow teacher, who courts a nanny in the baron's household, narrates the story and tries to investigate the connections among these accidents and crimes. What is foreshadowed? Are the children holy innocents? God may be in His heaven, but all is not right with the world; the center cannot hold. —<jhailey@hotmail.com>"
The Headless Woman," La mujer sin cabeza (2008) aka ""The Headless Woman"" ",6.6,5K,"This film is centered around Vero, an Argentinean bourgeois woman, and how her life slowly twists out of control after she hits something, or someone, with her car. Here comes the incident that changes everything, as Vero is driving, she is distracted by her cell phone and looks down to get to it. By the time she does this, her car hits something but the camera stays in it as we see her car shaking and rattles. Although Vero seems indifferent about the situation, it is clear that it has a toll on it as she acts different from the Vero that we saw briefly at the beginning of the film. She acts clumsy and out of place, barely saying anything, and when she does, it doesn't always make sense or has a lot of substance. This solidifies towards the end of the movie when she is going to retrace her steps to remember her memory, but in the hospital and the Hotel she stayed in, there was no record proving that she was there. This makes the audience wonder if all this really happened or if Vero, for the lack of a better word, is crazy and everything happened in your head. —Myria Davis"
The Royal Tenenbaums, The Royal Tenenbaums (2001) ,7.6,280K,"Three grown prodigies, all with a unique genius of some kind, and their mother are staying at the family household. Their father, Royal had left them long ago, and comes back to make things right with his family. —MonkeyKingMA"
Far From Heaven, Far from Heaven (2002) ,7.4,46K,"Cathy is the perfect 50s housewife, living the perfect 50s life: healthy kids, successful husband, social prominence. Then one night she stumbles in on her husband Frank, kissing another man, and her tidy world starts spinning out of control. In her confusion and grief, she finds consolation in the friendship of their African-American gardener, Raymond - a socially taboo relationship that leads to the further disintegration of life as she knew it. Despite Cathy and Frank's struggle to keep their marriage afloat, the reality of his homosexuality and her feelings for Raymond open a painful, if more honest, chapter in their lives. —Jonas A. Reinartz <jonas.reinartz@web.de>"
Moonrise Kingdom, Moonrise Kingdom (2012) ,7.8,336K,"Set on an island off the coast of New England in the 1960s, as a young boy and girl fall in love they are moved to run away together. Various factions of the town mobilize to search for them and the town is turned upside down - which might not be such a bad thing. —Production"
Lost in Translation, Lost in Translation (2003) ,7.7,437K,"Middle-aged American movie star Bob Harris is in Tokyo to film a personal endorsement Suntory whiskey ad solely for the Japanese market. He is past his movie star prime, but his name and image still have enough cachet for him to have gotten this lucrative $2 million job. He has an unsatisfying home life where his wife Lydia follows him wherever he goes - in the form of messages and faxes - for him to deal with the minutiae of their everyday lives, while she stays at home to look after their kids. Staying at the same upscale hotel is fellow American, twenty-something recent Yale Philosophy graduate Charlotte, her husband John, an entertainment still photographer, who is on assignment in Japan. As such, she is largely left to her own devices in the city, especially when his job takes him out of Tokyo. Both Bob and Charlotte are feeling lost by their current situations, which are not helped by the cultural barriers they feel in Tokyo, those cultural barriers extending far beyond just not knowing the language. After a few chance encounters in the hotel, they end up spending much of their time hanging out together, each helping the other deal with their feelings of loss in their current lives. The friendship that develops between the two, which is not always a bumpy-free one, may be just for this specific place and time, but it may also have long lasting implications. —Huggo"
A Single Man, A Single Man (2009) ,7.5,110K,"It's November 30, 1962. Native Brit George Falconer, an English professor at a Los Angeles area college, is finding it difficult to cope with life. Jim, his personal partner of sixteen years, died in a car accident eight months earlier when he was visiting with family. Jim's family were not going to tell George of the death or accident, let alone allow him to attend the funeral. This day, George has decided to get his affairs in order before he will commit suicide that evening. As he routinely and fastidiously prepares for the suicide and post suicide, George reminisces about his life with Jim. But George spends this day with various people, who see a man sadder than usual and who affect his own thoughts about what he is going to do. Those people include Carlos, a Spanish immigrant/aspiring actor/gigolo recently arrived in Los Angeles; Charley, his best friend who he knew from England, she who is a drama queen of a woman who romantically desires her best friend despite his sexual orientation; and Kenny Potter, one of his students, who seems to be curious about his professor beyond English class. —Huggo"
Toy Story 3, Toy Story 3 (2010) ,8.2,794K,"Woody, Buzz and the whole gang are back. As their owner Andy prepares to depart for college, his loyal toys find themselves in daycare where untamed tots with their sticky little fingers do not play nice. So, it's all for one and one for all as they join Barbie's counterpart Ken, a thespian hedgehog named Mr. Pricklepants and a pink, strawberry-scented teddy bear called Lots-o'-Huggin' Bear to plan their great escape. —Walt Disney Studios"
I Am Love, I Am Love (2009) ,7.0,22K,"Over two decades ago, Emma left Russia to follow Tancredi Recchi, the man who had proposed to her. Now a member of a powerful industrial Milanese family, she is the respected mother of three: two sons, Edoardo who is engaged to Eva and Gianluca that are businessmen and their lesbian daughter Elisabetta that lives in Nice. Emma, although not unhappy, feels confusedly unfulfilled. One day Edoardo becomes partner in a restaurant with Antonio, a talented chef and Edoardo's friend and Emma has a love affair with him. It does not take long before she embarks on a passionate affair with the sensuous young man. When Edoardo discovers the affair of his mother there is a tragedy that will affect the Recchi family."
Donnie Darko, Donnie Darko (2001) ,8.0,771K,"Donnie Darko doesn't get along too well with his family, his teachers, and his classmates; but he does manage to find a sympathetic friend in Gretchen, who agrees to date him. He has a compassionate psychiatrist, who discovers hypnosis is the means to unlock hidden secrets. His other companion may not be a true ally. Donnie has a friend named Frank, a large bunny which only Donnie can see. When an engine falls off a plane and destroys his bedroom, Donnie is not there. Both the event, and Donnie's escape, seem to have been caused by supernatural events. —J. Spurlin"
Inherent Vice, Inherent Vice (2014) ,6.7,100K,"During the psychedelic 60s and 70s Larry ""Doc"" Sportello is surprised by his former girlfriend and her plot for her billionaire boyfriend, his wife, and her boyfriend. A plan for kidnapping gets shaken up by the oddball characters entangled in this groovy kidnapping romp based upon the novel by Thomas Pynchon. —bignicknasty97"
Film socialisme, Film socialisme (2010) ,5.7,2.7K,"A symphony in three movements. Things such as a Mediterranean cruise, numerous conversations in numerous languages, between the passengers, almost all of whom are on holiday - Our Europe. At night, a sister and her younger brother have summoned their parents to appear before the court of their childhood. The children demand serious explanations of the themes of Liberty, Equality and Fraternity. Our Humanities. Visits to six sites of true or false myths: Egypt, Palestine, Odessa, Hellas, Naples, and Barcelona."
This Is the End, This Is the End (2013) ,6.6,399K,"All Jay Baruchel expected coming to LA was a fun time with Seth Rogen with all the wild partying to have both by themselves and at James Franco's housewarming party. Suddenly, the Rapture hits and the Biblical Apocalypse has begun. Now, Jay and Seth are desperately sheltering in James' house for rescue along with a few other friends. Together, they must band together to attempt to survive the end of the world, only for Jay to find that they are all too dumb and superficial to do it until they discover the only way out. —Kenneth Chisholm (kchishol@rogers.com)"
Somewhere, Somewhere (2010) ,6.3,44K,"Hollywood actor Johnny Marco, nested in his luxury hotel of choice, is a stimulated man. Drinking, parties and women keep a creeping boredom under wraps in between jobs. He is the occasional father of a bright girl, Cleo, who may be spoiled but doesn't act it. When Cleo's mother drops her off and leaves town, Johnny brings her along for the ride, but can he fit an 11-year-old girl into his privileged lifestyle? —Peter Brandt Nielsen"
Almayer's Folly, Almayer's Folly (2011) ,6.5,710,"A tale of an occidental merchant, Kaspar Almayer, whose dreams of riches for his beloved daughter, Nina, collapse under the weight of his own greed and prejudice."
The Story of Marie and Julien, The Story of Marie and Julien (2003) ,6.9,1.8K,"Middle-aged Julien lives alone with his cat. He dreams of Marie, and a few minutes later, he sees her on the street and makes a date. He asks her to move in with him, and she does. Her boyfriend is dead, the rest of her past a mystery. Although they quickly seem to fall in love, she sometimes pulls away suddenly from him, is distant, and spends the night in a hotel. She also dreads something imminent and warns him that if he missteps, he will lose her and all memory of her. He responds by digging into her past: what explains her remodeling an upstairs garret room, her nightly dreams, her fears? What can he, now desperately in love, do when he learns why? Can either rescue the other? —<jhailey@hotmail.com>"
Bamboozled, Bamboozled (2000) ,6.6,11K,"Dark, biting satire of the television industry, focusing on an Ivy League educated black writer at a major network. Frustrated that his ideas for a ""Cosby Show""-esque take on the black family have been rejected by network brass, he devises an outlandish scheme: reviving the minstrel show. This is the hook: Instead of white actors in black face, the show stars black actors in even blacker face. The show becomes an instant smash, but with the success also come repercussions for all involved. —N. Cognito <nobody@noplace>"
Under the Skin, Under the Skin (I) (2013) ,6.4,137K,"An alien entity inhabits the earthly form of a young woman who combs the roads and streets of Scotland in search of the human prey she came to plunder. She seduces her isolated and forsaken male victims into an otherworldly dimension where they are stripped and consumed. However, existence in all its complexity begin to change the alien visitor. She begins to discover herself as human with tragic and terrifying consequences. —Claudio Carvalho, Rio de Janeiro, Brazil"
Anomalisa, Anomalisa (2015) ,7.3,70K,"Michael Stone, an author that specializes in customer service, is a man who is unable to interact deeply with other people. His low sensitivity to excitement, and his lack of interest made him a man with a repetitive life on his own perspective. But, when he went on a business trip, he met a stranger - an extraordinary stranger, which slowly became a cure for his negative view on life that possibly will change his mundane life. —Gusde"
Madagascar 3: Europe's Most Wanted, Madagascar 3: Europe's Most Wanted (2012) ,6.8,173K,"Alex, Marty, Gloria and Melman are still trying to get back to the Big Apple and their beloved Central Park zoo, but first they need to find the penguins. When they travel to Monte Carlo, they attract the attention of Animal Control after gate crashing a party and are joined by the penguins, King Julian and Co., and the monkeys. How do a lion, zebra, hippo, giraffe, four penguins, two monkeys, three lemurs travel through Europe without attracting attention and get back to New York? They join a traveling circus. Their attempts to get back to New York are consistently hampered by the Captain of Animal Control who wants to make Alex part of her collection. Once they make it back to New York Marty, Alex, Gloria and Melman realize that they want to be part of the traveling circus. —Anonymous"
Another Year, Another Year (2010) ,7.4,29K,"A married couple who have managed to remain blissfully happy into their autumn years, are surrounded over the course of the four seasons of one average year by friends, colleagues, and family who all seem to suffer some degree of unhappiness. —Anonymous"
The Diving Bell and the Butterfly, The Diving Bell and the Butterfly (2007) ,8.0,106K,"Forty-three year old Elle magazine editor Jean-Dominique Bauby - Jean-Do to his friends - awakens not knowing where he is. He is in a Berck-sur-Mer hospital, where he has been for the past several weeks in a coma after suffering a massive stroke. Although his cognitive facilities are intact, he quickly learns that he has what is called locked-in syndrome which has resulted in him being almost completely paralyzed, including not being able to speak. One of his few functioning muscles is his left eye. His physical situation and hospitalization uncomfortably bring together the many people in his life, including: Céline Desmoulins, his ex-lover and mother of his children; Inès, his current lover; and his aged father who he calls Papinou. Among his compassionate recuperative team are his physical therapist Marie, and his speech therapist Henriette. Henriette eventually teaches him to communicate using a system where he spells out words: she reads out the letters of the alphabet in descending order of their use in the French language, and he blinks his functioning left eye when she reaches the appropriate letter. Although frustrating at start, he learns to communicate effectively but slowly using this method, so much so that with the help of Claude, a full time translator, he decides on the monumental and seemingly impossible task to keep to his pre-injury commitment of writing a book, changing its focus to life in his current state. —Huggo"
The Social Network, The Social Network (2010) ,7.7,663K,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications. —Columbia Pictures"
WALL-E," WALL·E (2008) aka ""WALL-E"" ",8.4,1.1M,"In a distant, but not so unrealistic, future where mankind has abandoned earth because it has become covered with trash from products sold by the powerful multi-national Buy N Large corporation, WALL-E, a garbage collecting robot has been left to clean up the mess. Mesmerized with trinkets of Earth's history and show tunes, WALL-E is alone on Earth except for a sprightly pet cockroach. One day, EVE, a sleek (and dangerous) reconnaissance robot, is sent to Earth to find proof that life is once again sustainable. WALL-E falls in love with EVE. WALL-E rescues EVE from a dust storm and shows her a living plant he found amongst the rubble. Consistent with her ""directive"", EVE takes the plant and automatically enters a deactivated state except for a blinking green beacon. WALL-E, doesn't understand what has happened to his new friend, but, true to his love, he protects her from wind, rain, and lightning, even as she is unresponsive. One day a massive ship comes to reclaim EVE, but WALL-E, out of love or loneliness, hitches a ride on the outside of the ship to rescue EVE. The ship arrives back at a large space cruise ship, which is carrying all of the humans who evacuated Earth 700 years earlier. The people of Earth ride around this space resort on hovering chairs which give them a constant feed of TV and video chatting. They drink all of their meals through a straw out of laziness and/or bone loss, and are all so fat that they can barely move. When the auto-pilot computer, acting on hastily-given instructions sent many centuries before, tries to prevent the people of Earth from returning by stealing the plant, WALL-E, EVE, the portly captain, and a band of broken robots stage a mutiny."
The Son's Room, The Son's Room (2001) ,7.3,20K,"Giovanni is a successful psychoanalyst who has to put up with the seemingly endless string of trivial details his patients ramble on about. Yet his family provides a loving and steadfast foundation for his life that can even survive a problem like their son, Andrea, being accused of stealing a rare fossil in school. That foundation is profoundly rocked when Andrea dies in a scuba diving accident. Although the usual arrangements run smoothly, the emotional harm is profound. Giovanni begins to obsessively dwell on the missed chances he had with his son that might have saved his life, even blaming his patients. In addition, his wife is inconsolable and his daughter is becoming anti social in their loss. In the midst of this turmoil, a secret of their son's life is revealed that provides healing in a way they never anticipated. —Kenneth Chisholm (kchishol@rogers.com)"
Extraordinary Stories, Extraordinary Stories (2008) ,7.9,1.2K,"In this adventurous experiment in storytelling, secret identities, missing persons, lost treasures, exotic beasts and desperate criminals are only a few of the elements woven into a grand tapestry of mysteries."
The Assassin," Point of No Return (1993) aka ""The Assassin"" ",6.1,27K,"Drug addict Maggie Hayward's consistent violence, even in police custody, ends in the execution chamber. However, top secret U.S. government Agent ""Bob"" arranges a staged death, so Maggie can be elaborately trained as a killer. She gets a new cover identity as saleswoman Claudia Anne Doran. She also finds a housemate, building super J.P., a broad-minded, gentle photographer. The two fall in love, and that complicates her government assignments. His influence extends to breeding in her a conscience that supplants her violent tendencies, and desire to continue work for the agency. —KGF Visser"
Million Dollar Baby, Million Dollar Baby (2004) ,8.1,663K,"Wanting to learn from the best, aspiring boxer Maggie Fitzgerald (Hilary Swank) wants Frankie Dunn (Clint Eastwood) to train her. At the outset, he flatly refuses saying he has no interest in training a girl. Frankie leads a lonely existence, alienated from his only daughter and having few friends. Maggie's rough around the edges, but shows a lot of grit in the ring and he eventually relents. Maggie not only proves to be the boxer he always dreamed of having under his wing, but a friend who fills the great void he's had in his life. Maggie's career skyrockets, but an accident in the ring leads her to ask Frankie for one last favor. —garykmcd"
Leviathan, Leviathan (1989) ,5.8,20K,Underwater deep-sea miners encounter a Soviet wreck and bring back a dangerous cargo to their base on the ocean floor with horrifying results. The crew of the mining base must fight to survive against a genetic mutation that hunts them down one by one. —Keith Loh <loh@sfu.ca>
A Touch of Sin, A Touch of Sin (2013) ,7.1,11K,Four independent stories set in modern China about random acts of violence.
The New World, The New World (2005) ,6.7,85K,"Captain Smith is spared his mutinous hanging sentence after captain Newport's ship arrives in 1607 to found Jamestown, an English colony in Virginia. The initially friendly natives, who have no personal property concept, turn hostile after a 'theft' is 'punished' violently on the spot. During an armed exploration, Smith is captured, but spared when the chief's favorite daughter Pocahontas pleads for the stranger who soon becomes her lover and learns to love their naive 'savage' way of harmonious life. Ultimately he returns to the grim fort, which would starve hadn't she arranged for Indian generosity. Alas, each side soon brands their own lover a traitor, so she is banished and he flogged as introduction to slavish toiling. Changes turn again, leading Smith to accept a northern-more mission and anglicized Pocahontas, believing him dead, becoming the mother of aristocratic new lover John Rolfe's son. They'll meet again for a finale in England. —KGF Vissers"
A Prophet, A Prophet (2009) ,7.9,97K,"Nineteen year-old Franco-Algerian Malik El Djebena is just starting his six year prison sentence in Brécourt. Although he has spent the better part of his life in juvenile detention, this stint is his first in an adult prison. Beyond the division of Corsicans and Muslims in the prison (the Corsicans who with their guard connections rule what happens in the prison), he has no known friends or enemies inside. He is just hoping to serve his time in peace and without incident, despite having no prospects once he's out of jail since he's illiterate and has no support outside of the prison. Due to logistics, the head of Corsican inmates, a sadistic mafioso named César Luciani, co-opts Malik as part of the Corsicans' activities, not only regarding what happens inside the prison, but also continued criminal activities outside. The innocent Malik has no idea what to do but cooperate. This move does not sit well with the other Corsicans, who only see Malik as a dirty Algerian, and the Muslims who now mistrust him. But as time goes on, Malik works to save himself while in prison, while setting up his life post prison on his own terms. Both his demon and his salvation in prison is the specter of one of the first people he really got to know during his incarceration. —Huggo"
Blue Is the Warmest Color," Blue Is the Warmest Colour (2013) aka ""Blue Is the Warmest Color"" ",7.7,146K,"Adèle is a high school student who is beginning to explore herself as a woman. She dates men but finds no satisfaction with them sexually, and is rejected by a female friend who she does desire. She dreams of something more. She meets Emma who is a free spirited girl whom Adèle's friends reject due to her sexuality, and by association most begin to reject Adèle. Her relationship with Emma grows into more than just friends as she is the only person with whom she can express herself openly. Together, Adèle and Emma explore social acceptance, sexuality, and the emotional spectrum of their maturing relationship. —ahmetkozan"
Moolaadé, Moolaadé (2004) ,7.6,3.8K,"In an African village this is the day when six 4-9-year-old girls are to be 'cut' (the act of female genital mutilation) All children know that the operation is horrible torture and sometimes lethal, and all adults know that some cut women can only give birth by Caesarean section. Two of the girls have drowned themselves in the well to escape the operation. The four other girls seek ""magical protection"" (moolaadé) by a woman (Colle) who seven years before refused to have her daughter circumcised. Moolaadé is indicated by a coloured rope. But no one would dare step over and fetch the children. Moolaadé can only be revoked by Colle herself. Her husband's relatives persuade him to whip her in public into revoking. Opposite groups of women shout to her to revoke or to be steadfast, but no woman interferes. When Colle is at the wedge of fainting, the merchant takes action and stops the maltreatment. Therefore he is hunted out of the village and, when out of sight, murdered. —Max Scharnberg, Stockholm, Sweden"
The Secret in Their Eyes, The Secret in Their Eyes (2009) ,8.2,203K,"In 1999, retired Argentinian federal justice agent Benjamín Espósito is writing a novel, using an old closed case as the source material. That case is the brutal rape and murder of Liliana Coloto. In addition to seeing the extreme grief of the victim's husband Ricardo Morales, Benjamín, his assistant Pablo Sandoval, and newly hired department chief Irene Menéndez-Hastings were personally affected by the case as Benjamín and Pablo tracked the killer, hence the reason why the unsatisfactory ending to the case has always bothered him. Despite the department already having two other suspects, Benjamín and Pablo ultimately were certain that a man named Isidoro Gómez is the real killer. Although he is aware that historical accuracy is not paramount for the novel, the process of revisiting the case is more an issue of closure for him. He tries to speak to the key players in the case, most specifically Irene, who still works in the justice department and who he has always been attracted to but never pursued due to the differences in their ages and social classes. The other issue is that Gómez is still at large, no one aware if he is alive or dead. But as Pablo at the time mentioned that passion is one thing that cannot be changed in behavior, Benjamín learns now that that premise still holds true. —Huggo"
Oldboy, Oldboy (2003) ,8.4,548K,"Abducted on a rainy night in 1988, the obnoxious drunk, Oh Dae-Su, much to his surprise, wakes up locked in a windowless and dilapidated hotel room, for an unknown reason. There, his invisible and pitiless captors will feed him, clothe him, and sedate him to avert a desperate suicide--and as his only companion and a window to the world is the TV in his stark cell--the only thing that helps Oh Dae-Su keep going is his daily journal. Then, unexpectedly, after fifteen long years in captivity, the perplexed prisoner is deliberately released, encouraged to track down his tormentor to finally get his retribution. However, who would hate Oh Dae-Su so much he would deny him of a quick and clean death? —Nick Riganas"
Fat Girl, Fat Girl (2001) ,6.5,11K,"A Ma Soeur! is a provocative and shocking drama about sibling rivalry, family discord and relationships. Elena is 15, beautiful and flirtatious. Her less confident sister, Anais, is 12, and constantly eats. On holiday, Elena meets a young Italian student who is determined to seduce her. Anais is forced to watch in silence, conspiring with the lovers, but harbouring jealousy and similar desires. Their actions, however, have unforeseen tragic consequences for the whole family. —Blackstar"
The Orphanage, The Orphanage (2007) ,7.4,152K,"Laura, a former orphan, raises her adopted son Simón together with her husband Carlos in an old house and former orphanage where she was raised. While at the orphanage Simón tells Laura that he has five invisible friends which she believes are a product of his active imagination. Laura decides to reopen the orphanage to cater for disabled children and throws a party. During the party Simón tries to persuade Laura to go and take a look at his friends cabin but she's too busy. Later on she sees a mysterious masked boy and realizes that Simón has also disappeared. Laura feels the presence of other people in the house and months later Laura invites a team of parapsychologists to try to unravel the mystery. —Claudio Carvalho, Rio de Janeiro, Brazil"
The Hunt, The Hunt (II) (2020) ,6.5,94K,"""Twelve strangers wake up in a clearing. They don't know where they are -- or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted, Crystal, turns the tables on her pursuers. —krmanirethnam"
Spring Breakers, Spring Breakers (2012) ,5.3,140K,"Brit, Candy, Cotty, and Faith have been best friends since grade school. They live together in a boring college dorm and are hungry for adventure. All they have to do is save enough money for spring break to get their shot at having some real fun. A serendipitous encounter with rapper ""Alien"" promises to provide the girls with all the thrill and excitement they could hope for. With the encouragement of their new friend, it soon becomes unclear how far the girls are willing to go to experience a spring break they will never forget. —Muse Productions"
My Winnipeg, My Winnipeg (2007) ,7.6,5.2K,"Filmmaker Guy Maddin was born, raised and has always lived in Winnipeg, Manitoba, a town where he says everyone sleepwalks through life. He is trying to escape Winnipeg, but isn't sure how as he isn't sure what's kept him there in the first place. Perhaps his parent's month long 65th wedding anniversary celebration (despite his father being dead for some years) where he will reenact his childhood (with actors playing his family, except his mother who plays herself) in the old family home at 800 Ellis Avenue, which was above the family's hair salon business, will provide some answers. He recounts some civic events which have affected him and the life of Winnipegers: the 1919 general strike, the destruction of the Wolseley Elm in 1957, and the replacement of the iconic Eaton's building for the new hockey arena in favor of the old Winnipeg Arena. The latter has an especially close connection to him because of a family tie and the rich history of hockey in the city (discounting what he considers the failure of the NHL experiment). As he is on the train leaving the city, he hopes that the page 3 ""Citizen Girl"" will be the panacea for all Winnipeg's issues. —Huggo"
The Ghost Writer, The Ghost Writer (2010) ,7.2,161K,"An unremarkable ghost-writer has landed a lucrative contract to redact the memoirs of Adam Lang, the former UK Prime Minister. After dominating British politics for years, Lang is campaigning for his foundation with his wife in the USA. He lives on an island, in luxurious, isolated premises complete with a security detail and a secretarial staff. Soon, Adam Lang gets embroiled in a major scandal with international ramifications that reveals how far he was ready to go in order to nurture UK's ""special relationship"" with the USA. But before this controversy has started, before even he has closed the deal with the publisher, the ghost-writer gets unmistakable signs that the turgid draft he is tasked to put into shape inexplicably constitutes highly sensitive material. —Eduardo Casais <casaise@acm.org>"
Moulin Rouge!, Moulin Rouge! (2001) ,7.6,276K,"The year is 1899, and Christian, a young English writer, has come to Paris to follow the Bohemian revolution taking hold of the city's drug and prostitute infested underworld. And nowhere is the thrill of the underworld more alive than at the Moulin Rouge, a night club where the rich and poor men alike come to be entertained by the dancers, but things take a wicked turn for Christian as he starts a deadly love affair with the star courtesan of the club, Satine. But her affections are also coveted by the club's patron: the Duke. A dangerous love triangle ensues as Satine and Christian attempt to fight all odds to stay together but a force that not even love can conquer is taking its toll on Satine... —O.G."
Star Wars: Episode III – Revenge of the Sith, Star Wars: Episode III - Revenge of the Sith (2005) ,7.5,745K,"Nearly three years have passed since the beginning of the Clone Wars. The Republic, with the help of the Jedi, take on Count Dooku and the Separatists. With a new threat rising, the Jedi Council sends Obi-Wan Kenobi and Anakin Skywalker to aid the captured Chancellor. Anakin feels he is ready to be promoted to Jedi Master. Obi-Wan is hunting down the Separatist General, Grievous. When Anakin has future visions of pain and suffering coming Padmé's way, he sees Master Yoda for counsel. When Darth Sidious executes Order 66, it destroys most of all the Jedi have built. Experience the birth of Darth Vader. Feel the betrayal that leads to hatred between two brothers. And witness the power of hope."
Manakamana, Manakamana (2013) ,6.5,724,A documentary about a group of pilgrims who travel to Nepal to worship at the legendary Manakamana temple.
The Curious Case of Benjamin Button, The Curious Case of Benjamin Button (2008) ,7.8,621K,"On the day that Hurricane Katrina hits New Orleans, elderly Daisy Williams (nee Fuller) is on her deathbed in a New Orleans hospital. At her side is her adult daughter, Caroline. Daisy asks Caroline to read to her aloud the diary of Daisy's lifelong friend, Benjamin Button. Benjamin's diary recounts his entire extraordinary life, the primary unusual aspect of which was his aging backwards, being diagnosed with several aging diseases at birth and thus given little chance of survival, but who does survive and gets younger with time. Abandoned by his biological father, Thomas Button, after Benjamin's biological mother died in childbirth, Benjamin was raised by Queenie, a black woman and caregiver at a seniors home. Daisy's grandmother was a resident at that home, which is where she first met Benjamin. Although separated through the years, Daisy and Benjamin remain in contact throughout their lives, reconnecting in their forties when in age they finally match up. Some of the revelations in Benjamin's diary are difficult for Caroline to read, especially as it relates to the time past this reconnection between Benjamin and Daisy, when Daisy gets older and Benjamin grows younger into his childhood years. —Huggo"
"You, The Living"," You, the Living (2007) ",7.5,15K,"A series of scenes that focus specially on a single idea, emotion or act us. In the absence of interfering qualities this film is able to take one factoring influence and amplify it to absurd and hilarious proportions. Each scene gives us an uninterrupted view at some of the more unglamorous characteristics that in the end determine who we are, both as individuals and as a thread in the patchwork of the collective human unconscious. —kwedgwood@hotmail.com"
Moolaadé, Moolaadé (2004) ,7.6,3.8K,"In an African village this is the day when six 4-9-year-old girls are to be 'cut' (the act of female genital mutilation) All children know that the operation is horrible torture and sometimes lethal, and all adults know that some cut women can only give birth by Caesarean section. Two of the girls have drowned themselves in the well to escape the operation. The four other girls seek ""magical protection"" (moolaadé) by a woman (Colle) who seven years before refused to have her daughter circumcised. Moolaadé is indicated by a coloured rope. But no one would dare step over and fetch the children. Moolaadé can only be revoked by Colle herself. Her husband's relatives persuade him to whip her in public into revoking. Opposite groups of women shout to her to revoke or to be steadfast, but no woman interferes. When Colle is at the wedge of fainting, the merchant takes action and stops the maltreatment. Therefore he is hunted out of the village and, when out of sight, murdered. —Max Scharnberg, Stockholm, Sweden"
Cuba: An African Odyssey," Cuba, une odyssée africaine (2007) (TV Movie) aka ""Cuba: An African Odyssey"" ",8.2,118,"From Che Guevara's military campaign to avenge Lumumba in the Congo up to the fall of apartheid in South Africa, 300,000 Cubans fought alongside African revolutionaries. CUBA, AN AFRICAN ODYSSEY is the previously untold story of Cuba's support for African revolutions, one of the Cold War's most vigorous contests over resources and ideology. —Anonymous"
Shoot the Messenger, Shoot the Messenger (2016) (TV Series) ,6.5,879,"The series follows Daisy Channing (Elyse Levesque), a young reporter trying to balance a messy personal life with a burgeoning career. Things begin to go sideways for Daisy when she witnesses a murder she thinks is gang-related, only to find herself slowly drawn into an interconnected web of criminal and illicit sexual activity that reaches into the corridors of corporate and political power. It's the kind of story that will destroy lives, including those of her own family. With help from lead homicide detective Kevin Lutz (Lyriq Bent), her editor Mary Foster (Alex Kingston) and co-worker Simon Olenski (Lucas Bryant), Daisy uncovers a cover-up so scandalous it could bring down the government. —AnonymousB"
